"","year","period","county_fips","county","footnotes","employment","labor_force","unemployment","unemployment_rate","MI_unemployment_rate","MI_employment_population_ratio","MI_labor_force_participation_rate","AGE16PLUS_TOT","period_date","period_txt","LFPR","EPOP"
"1",2025,"Jul-25","077","Kalamazoo","",131897,139396,7499,5.4,5.7,58.3,61.9,215483,2025-07-01,"Jul-25",64.6900219506875,61.2099330341605
"2",2025,"Jul-25","021","Berrien","",73469,77906,4437,5.7,5.7,58.3,61.9,125530,2025-07-01,"Jul-25",62.0616585676731,58.5270453278101
"3",2025,"Jul-25","023","Branch","",21805,22982,1177,5.1,5.7,58.3,61.9,36500,2025-07-01,"Jul-25",62.9643835616438,59.7397260273973
"4",2025,"Jul-25","025","Calhoun","",60817,65177,4360,6.7,5.7,58.3,61.9,108159,2025-07-01,"Jul-25",60.2603574367367,56.2292550781719
"5",2025,"Jul-25","027","Cass","",22925,24380,1455,6,5.7,58.3,61.9,42709,2025-07-01,"Jul-25",57.0839869816666,53.6772108923178
"6",2025,"Jul-25","149","St. Joseph","",27181,29138,1957,6.7,5.7,58.3,61.9,48445,2025-07-01,"Jul-25",60.1465579523171,56.1069253792961
"7",2025,"Jul-25","159","Van Buren","",36017,38161,2144,5.6,5.7,58.3,61.9,61380,2025-07-01,"Jul-25",62.1717171717172,58.6787227109808
"8",2025,"Jul-25","001","Alcona","",3381,3698,317,8.6,5.7,58.3,61.9,9319,2025-07-01,"Jul-25",39.6823693529349,36.2807168151089
"9",2025,"Jul-25","003","Alger","",3529,3783,254,6.7,5.7,58.3,61.9,7540,2025-07-01,"Jul-25",50.1724137931034,46.8037135278515
"10",2025,"Jul-25","005","Allegan","",63126,66326,3200,4.8,5.7,58.3,61.9,99560,2025-07-01,"Jul-25",66.6191241462435,63.40498192045
"11",2025,"Jul-25","007","Alpena","",12823,13657,834,6.1,5.7,58.3,61.9,24206,2025-07-01,"Jul-25",56.4198958935801,52.9744691398827
"12",2025,"Jul-25","009","Antrim","",11588,12248,660,5.4,5.7,58.3,61.9,21177,2025-07-01,"Jul-25",57.836331869481,54.7197431175332
"13",2025,"Jul-25","011","Arenac","",6553,7033,480,6.8,5.7,58.3,61.9,12745,2025-07-01,"Jul-25",55.1824244801883,51.4162416633974
"14",2025,"Jul-25","013","Baraga","",3072,3322,250,7.5,5.7,58.3,61.9,6867,2025-07-01,"Jul-25",48.3762924129897,44.7356924421145
"15",2025,"Jul-25","015","Barry","",29573,31277,1704,5.4,5.7,58.3,61.9,52474,2025-07-01,"Jul-25",59.6047566413843,56.3574341578687
"16",2025,"Jul-25","017","Bay","",47595,50827,3232,6.4,5.7,58.3,61.9,85645,2025-07-01,"Jul-25",59.3461381283204,55.5724210403409
"17",2025,"Jul-25","019","Benzie","",9224,9696,472,4.9,5.7,58.3,61.9,15903,2025-07-01,"Jul-25",60.9696283720053,58.0016349116519
"18",2025,"Jul-25","029","Charlevoix","",14292,14958,666,4.5,5.7,58.3,61.9,22173,2025-07-01,"Jul-25",67.4604248410229,64.456771749425
"19",2025,"Jul-25","031","Cheboygan","",11769,12438,669,5.4,5.7,58.3,61.9,22353,2025-07-01,"Jul-25",55.6435377801637,52.6506509193397
"20",2025,"Jul-25","033","Chippewa","",16841,18013,1172,6.5,5.7,58.3,61.9,30527,2025-07-01,"Jul-25",59.0067808824975,55.1675565892489
"21",2025,"Jul-25","035","Clare","",11392,12346,954,7.7,5.7,58.3,61.9,26277,2025-07-01,"Jul-25",46.9840544963276,43.3535030635156
"22",2025,"Jul-25","037","Clinton","",39833,41943,2110,5,5.7,58.3,61.9,65958,2025-07-01,"Jul-25",63.5904666606022,60.3914612329058
"23",2025,"Jul-25","039","Crawford","",5554,5970,416,7,5.7,58.3,61.9,11609,2025-07-01,"Jul-25",51.4256180549574,47.8421914032216
"24",2025,"Jul-25","041","Delta","",16315,17498,1183,6.8,5.7,58.3,61.9,30779,2025-07-01,"Jul-25",56.8504499821307,53.0069203028039
"25",2025,"Jul-25","043","Dickinson","",12066,12793,727,5.7,5.7,58.3,61.9,21523,2025-07-01,"Jul-25",59.4387399526088,56.0609580448822
