"","Code","GeoFips","GeoName","CL_UNIT","UNIT_MULT","DataValue_2020","DataValue_2021","DataValue_2022","DataValue_2023","DataValue_2024","pct_21_20","pct_22_21","pct_23_22","pct_24_23","rank_2020","rank_2021","rank_2022","rank_2023","rank_2024","pc_rank_2021","pc_rank_2022","pc_rank_2023","pc_rank_2024"
"1","CAINC1-3","26077","Kalamazoo","Dollars","0",54938,59436,60953,62983,65811,8.18741126360625,2.55232519012047,3.3304349252703,4.49010050331042,10,12,9,11,11,38,11,73,38
"2","CAINC1-3","26021","Berrien","Dollars","0",53919,60589,60293,61513,64094,12.3704074630464,-0.488537523312815,2.02345214203972,4.19586103750427,12,10,12,13,12,2,43,80,56
"3","CAINC1-3","26023","Branch","Dollars","0",40200,43347,43743,44934,47018,7.82835820895522,0.913558031697703,2.72272134970166,4.63791338407442,70,73,67,70,69,45,22,76,35
"4","CAINC1-3","26025","Calhoun","Dollars","0",43949,45832,46136,47815,50199,4.28451159298278,0.663292023040674,3.63924050632911,4.98588309108021,49,58,56,58,59,81,24,70,26
"5","CAINC1-3","26027","Cass","Dollars","0",50513,55157,57092,57530,59552,9.19367291588305,3.50816759432167,0.767182792685484,3.51468798887538,20,18,15,22,23,24,7,82,65
"6","CAINC1-3","26149","St. Joseph","Dollars","0",42903,47553,47829,50074,51660,10.8384029088875,0.580405021765196,4.69380501369463,3.16731237768104,59,47,44,42,51,11,26,59,74
"7","CAINC1-3","26159","Van Buren","Dollars","0",45644,49887,50247,52658,54912,9.29585487687319,0.721630885801905,4.79829641570642,4.28045121349083,36,32,28,31,30,22,23,58,52
"8","CAINC1-3","26001","Alcona","Dollars","0",45779,50126,48609,49916,52130,9.49562026256581,-3.02637353868253,2.6888024851365,4.43545155861849,33,30,34,44,44,18,72,77,43
"9","CAINC1-3","26003","Alger","Dollars","0",38425,42183,42060,44315,46833,9.78009108653222,-0.291586658132426,5.36138849262957,5.68204896761819,78,76,75,73,70,16,38,44,11
"10","CAINC1-3","26005","Allegan","Dollars","0",50199,54689,55332,58460,60514,8.94440128289409,1.17573917972535,5.65314826863297,3.51351351351352,21,20,22,19,20,27,20,33,66
"11","CAINC1-3","26007","Alpena","Dollars","0",45054,48773,48865,51327,54180,8.25453899764728,0.188628954544523,5.03837102220404,5.55847799403824,41,37,32,33,31,37,29,54,13
"12","CAINC1-3","26009","Antrim","Dollars","0",52015,56996,56240,59869,63131,9.57608382197444,-1.32640887079795,6.45270270270271,5.4485626952179,15,15,20,16,14,17,58,17,17
"13","CAINC1-3","26011","Arenac","Dollars","0",44603,47811,46676,49193,51950,7.19234132233257,-2.37393068540712,5.39249292998543,5.60445591852499,44,46,49,52,45,52,67,43,12
"14","CAINC1-3","26013","Baraga","Dollars","0",39293,41977,41374,43543,45699,6.83073320947751,-1.43650094099149,5.24242277758979,4.9514273247135,77,77,77,77,74,56,59,48,29
"15","CAINC1-3","26015","Barry","Dollars","0",49118,53495,56813,58327,60378,8.91119345250213,6.20244882699317,2.66488303733301,3.5163817785931,25,22,17,20,21,29,3,78,64
"16","CAINC1-3","26017","Bay","Dollars","0",46699,50700,49910,53207,55627,8.5676352812694,-1.55818540433925,6.60589060308556,4.54827372338227,29,29,31,29,29,33,60,14,37
"17","CAINC1-3","26019","Benzie","Dollars","0",52268,54925,56921,60919,63595,5.08341623938164,3.63404642694583,7.0237697861949,4.3927181995765,14,19,16,14,13,77,5,5,46
"18","CAINC1-3","26029","Charlevoix","Dollars","0",58405,65532,67830,72354,76513,12.2027223696601,3.50668375755356,6.66961521450686,5.74812726317826,7,7,6,6,5,5,8,12,10
"19","CAINC1-3","26031","Cheboygan","Dollars","0",45556,49520,48075,51212,54043,8.70137852313635,-2.91801292407108,6.52522100884034,5.52800124970709,38,33,41,34,33,31,70,16,14
"20","CAINC1-3","26033","Chippewa","Dollars","0",39656,43961,43675,46268,48932,10.8558603994351,-0.650576647482992,5.93703491700057,5.75775914238783,74,67,68,64,62,10,50,24,9
"21","CAINC1-3","26035","Clare","Dollars","0",39614,41502,41203,43685,45627,4.76599182107336,-0.720447207363506,6.02383321602795,4.44546182900309,75,78,78,75,75,79,51,22,42
"22","CAINC1-3","26037","Clinton","Dollars","0",51034,56091,57392,60359,63057,9.90908022102912,2.31944518728495,5.16971006412044,4.46992163554731,18,17,13,15,15,15,14,49,39
"23","CAINC1-3","26039","Crawford","Dollars","0",41715,43636,41434,42960,45310,4.60505813256622,-5.04629205243377,3.68296568035913,5.47020484171321,65,70,76,79,77,80,80,69,16
"24","CAINC1-3","26041","Delta","Dollars","0",43623,46610,45539,47573,50325,6.84730532058777,-2.29779017378245,4.46650124069479,5.78479389569715,53,54,58,60,58,55,66,61,7
"25","CAINC1-3","26043","Dickinson","Dollars","0",50514,56365,54357,56747,59204,11.5829275052461,-3.5624944557793,4.3968578104016,4.32974430366364,19,16,23,24,24,7,77,62,48
"26","CAINC1-3","26045","Eaton","Dollars","0",47705,51055,51378,53979,56293,7.02232470390944,0.63265106257957,5.0624781034684,4.28685229441079,27,28,26,27,27,53,25,52,50
"27","CAINC1-3","26047","Emmet","Dollars","0",62279,69422,71040,75830,80004,11.4693556415485,2.33067327360204,6.74268018018018,5.50441777660557,4,4,4,4,3,8,13,10,15
"28","CAINC1-3","26049","Genesee","Dollars","0",45435,48440,48709,52844,53595,6.61384395289975,0.555326176713455,8.48919090927756,1.42116418136402,39,41,33,30,34,62,27,3,83
"29","CAINC1-3","26051","Gladwin","Dollars","0",41805,44437,44108,46546,48540,6.29589761990192,-0.740374012647116,5.52734197877935,4.28393417264641,62,65,64,62,63,65,52,39,51
"30","CAINC1-3","26053","Gogebic","Dollars","0",45696,48675,48497,50941,53587,6.51917016806722,-0.365690806368768,5.03948697857599,5.19424432186255,34,39,36,37,35,63,41,53,21
"31","CAINC1-3","26055","Grand Traverse","Dollars","0",55918,61175,63643,68103,71687,9.40126613970458,4.03432774826318,7.00784061090771,5.2626169184911,9,8,8,8,8,20,4,7,20
"32","CAINC1-3","26057","Gratiot","Dollars","0",41331,44198,44047,45600,46618,6.93668190946264,-0.341644418299469,3.52577928122233,2.23245614035088,67,66,65,67,72,54,40,71,81
"33","CAINC1-3","26059","Hillsdale","Dollars","0",39706,43020,42742,44598,46827,8.34634564045735,-0.646211064621105,4.34233306817651,4.99798197228576,72,74,71,72,71,35,49,63,25
