"","GEOID","NAME","variable","estimate"
"1","26077","Kalamazoo","2020 or later",1.2
"2","26077","Kalamazoo","2010 to 2019",6.7
"3","26077","Kalamazoo","2000 to 2009",12.3
"4","26077","Kalamazoo","1980 to 1999",22.8
"5","26077","Kalamazoo","1960 to 1979",25.8
"6","26077","Kalamazoo","1940 to 1959",17.7
"7","26077","Kalamazoo","1939 or earlier",13.6
"8","26021","Berrien","2020 or later",0.8
"9","26021","Berrien","2010 to 2019",3.2
"10","26021","Berrien","2000 to 2009",8.9
"11","26021","Berrien","1980 to 1999",16.7
"12","26021","Berrien","1960 to 1979",29.9
"13","26021","Berrien","1940 to 1959",23.5
"14","26021","Berrien","1939 or earlier",17.1
"15","26023","Branch","2020 or later",0.7
"16","26023","Branch","2010 to 2019",5.4
"17","26023","Branch","2000 to 2009",8.9
"18","26023","Branch","1980 to 1999",20.9
"19","26023","Branch","1960 to 1979",24.3
"20","26023","Branch","1940 to 1959",16.1
"21","26023","Branch","1939 or earlier",23.7
"22","26025","Calhoun","2020 or later",0.3
"23","26025","Calhoun","2010 to 2019",2.3
"24","26025","Calhoun","2000 to 2009",7.4
"25","26025","Calhoun","1980 to 1999",16.8
"26","26025","Calhoun","1960 to 1979",24.9
"27","26025","Calhoun","1940 to 1959",25.1
"28","26025","Calhoun","1939 or earlier",23.3
"29","26027","Cass","2020 or later",1
"30","26027","Cass","2010 to 2019",5.9
"31","26027","Cass","2000 to 2009",12.3
"32","26027","Cass","1980 to 1999",20.3
"33","26027","Cass","1960 to 1979",27.7
"34","26027","Cass","1940 to 1959",16.1
"35","26027","Cass","1939 or earlier",16.7
"36","26149","St. Joseph","2020 or later",0.6
"37","26149","St. Joseph","2010 to 2019",3.1
"38","26149","St. Joseph","2000 to 2009",9.1
"39","26149","St. Joseph","1980 to 1999",21.9
"40","26149","St. Joseph","1960 to 1979",23.8
"41","26149","St. Joseph","1940 to 1959",16.8
"42","26149","St. Joseph","1939 or earlier",24.6
"43","26159","Van Buren","2020 or later",1.3
"44","26159","Van Buren","2010 to 2019",4.8
"45","26159","Van Buren","2000 to 2009",13
"46","26159","Van Buren","1980 to 1999",28.8
"47","26159","Van Buren","1960 to 1979",21.3
"48","26159","Van Buren","1940 to 1959",14.2
"49","26159","Van Buren","1939 or earlier",16.6
"50","26001","Alcona","2020 or later",0.9
"51","26001","Alcona","2010 to 2019",4.6
"52","26001","Alcona","2000 to 2009",11.5
"53","26001","Alcona","1980 to 1999",28
"54","26001","Alcona","1960 to 1979",31.7
"55","26001","Alcona","1940 to 1959",15.6
"56","26001","Alcona","1939 or earlier",7.6
"57","26003","Alger","2020 or later",0.5
"58","26003","Alger","2010 to 2019",4.2
"59","26003","Alger","2000 to 2009",12.9
"60","26003","Alger","1980 to 1999",25.9
"61","26003","Alger","1960 to 1979",25
"62","26003","Alger","1940 to 1959",14.1
"63","26003","Alger","1939 or earlier",17.3
"64","26005","Allegan","2020 or later",1.4
"65","26005","Allegan","2010 to 2019",8.2
"66","26005","Allegan","2000 to 2009",15.3
"67","26005","Allegan","1980 to 1999",27.7
"68","26005","Allegan","1960 to 1979",20.1
"69","26005","Allegan","1940 to 1959",11.9
"70","26005","Allegan","1939 or earlier",15.4
"71","26007","Alpena","2020 or later",0.2
"72","26007","Alpena","2010 to 2019",3.2
"73","26007","Alpena","2000 to 2009",6.9
"74","26007","Alpena","1980 to 1999",18
"75","26007","Alpena","1960 to 1979",33
"76","26007","Alpena","1940 to 1959",23.6
"77","26007","Alpena","1939 or earlier",15
"78","26009","Antrim","2020 or later",1
"79","26009","Antrim","2010 to 2019",4.2
"80","26009","Antrim","2000 to 2009",16.6
"81","26009","Antrim","1980 to 1999",29.3
"82","26009","Antrim","1960 to 1979",25.5
