"","NAME","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree"
"1","Kalamazoo",1.3,4,22.3,21.5,9.6,24.9,16.4
"2","Berrien",2.4,5.3,28.6,22,10.7,18.6,12.4
"3","Branch",5.6,5.8,38.4,23.2,9.8,12.4,4.9
"4","Calhoun",2.3,6.3,35.4,23.2,9.9,15,7.9
"5","Cass",2.7,7.2,34.1,23.2,10.9,13.8,8
"6","St. Joseph",6,7.3,37.2,22.3,10.2,10.8,6.1
"7","Van Buren",4.3,6.2,33.3,23.8,9.5,14.6,8.4
"8","Alcona",1.4,5.7,36.8,23.1,11.6,12.6,8.8
"9","Alger",1.5,4.6,41.2,21.5,10.2,14.9,6.1
"10","Allegan",2.4,5.2,35.6,20.9,8.7,18.1,9.1
"11","Alpena",2,5.5,34.7,25,14.5,11.4,6.9
"12","Antrim",1.5,3.8,30.4,20.1,9.9,21.2,13.1
"13","Arenac",3.1,8.7,35,25.7,11.6,10,5.9
"14","Baraga",1.5,6.7,37.1,29,10.9,9.4,5.3
"15","Barry",2.3,4.3,35.1,23.9,9.4,17.1,7.8
"16","Bay",2,6.1,33.1,24.6,12.1,15.1,7
"17","Benzie",1.6,4.3,26.3,21.4,9.5,22.8,14.1
"18","Charlevoix",1.4,3.5,27.3,21.8,10.8,20.6,14.6
"19","Cheboygan",2.1,6.8,34.5,21.3,10.8,14.6,9.8
"20","Chippewa",2,5.4,35.4,25.3,8.6,15.2,8.1
"21","Clare",4.6,6.8,42.2,23,10.6,7.6,5.3
"22","Clinton",1.8,2.9,24.8,23.1,12,21.4,13.9
"23","Crawford",1.6,7.1,33.1,25.8,12.1,11.8,8.5
"24","Delta",1.1,6,34.2,22.8,15.4,14.9,5.7
"25","Dickinson",0.5,3,35.1,24.3,11.7,17.6,7.7
"26","Eaton",1.5,4.3,27.1,25.7,10.6,20.6,10.2
"27","Emmet",0.9,2.8,23.5,21.2,10.1,23.9,17.7
"28","Genesee",1.8,6.6,32,25.2,11.1,15.3,8
"29","Gladwin",4.4,6.5,37.7,24.6,9.9,11.1,5.8
"30","Gogebic",1.2,2.8,32.2,25.5,15.5,15,7.9
"31","Grand Traverse",1.4,2.9,21.6,22.1,11.4,23.8,16.8
"32","Gratiot",2.2,6.1,40.2,24,8.8,12.9,5.8
"33","Hillsdale",2.8,6.1,40.3,20.7,8.9,13,8.1
"34","Houghton",1.7,3.9,28.1,21,8.1,20.6,16.6
"35","Huron",1.9,5.6,41.2,21.4,11.4,12.5,6
"36","Ingham",2,4.3,21.5,21.6,9.4,23.1,18.1
"37","Ionia",2.4,6.7,37.9,24.8,9.7,13.3,5.3
"38","Iosco",1.8,7.9,36.3,24.8,9.8,11.7,7.7
"39","Iron",1.5,3.7,40.5,20.3,11.5,15.3,7.2
"40","Isabella",3,5.1,29.3,21.5,9.8,17.8,13.5
"41","Jackson",1.5,6.1,34.7,23.7,10.5,15.6,7.8
"42","Kalkaska",2.6,6.9,38.8,24,8.7,12.1,6.9
"43","Kent",3.4,4.3,23.4,19,9.1,26.1,14.7
"44","Keweenaw",1.4,2.5,24,20.6,10.3,23.1,18.1
"45","Lake",3.8,10.6,43,22.8,7.2,9.1,3.6
"46","Lapeer",1.8,5.9,36.6,24.1,11.1,13.9,6.6
