"","NAME","TimeLabel","TimeProportion"
"1","Kalamazoo","less than 10 minutes",3.90883418166542
"2","Kalamazoo","10 to 29 minutes",48.7606006148728
"3","Kalamazoo","30 to 59 minutes",30.9553867142496
"4","Kalamazoo","60 or more minutes",16.3753906606382
"5","Berrien","less than 10 minutes",4.9058933626377
"6","Berrien","10 to 29 minutes",42.9966566612433
"7","Berrien","30 to 59 minutes",28.6117572138067
"8","Berrien","60 or more minutes",23.486081071111
"9","Branch","less than 10 minutes",5.14716667481543
"10","Branch","10 to 29 minutes",35.2613308561091
"11","Branch","30 to 59 minutes",31.4269300347137
"12","Branch","60 or more minutes",28.1633501197868
"13","Calhoun","less than 10 minutes",4.69029374201788
"14","Calhoun","10 to 29 minutes",43.9705345739829
"15","Calhoun","30 to 59 minutes",33.435960591133
"16","Calhoun","60 or more minutes",17.9032110928663
"17","Cass","less than 10 minutes",2.70096709574152
"18","Cass","10 to 29 minutes",36.76305675098
"19","Cass","30 to 59 minutes",43.9563704676373
"20","Cass","60 or more minutes",16.580564155157
"21","St. Joseph","less than 10 minutes",6.06472461150977
"22","St. Joseph","10 to 29 minutes",34.7184336834102
"23","St. Joseph","30 to 59 minutes",39.6701991160956
"24","St. Joseph","60 or more minutes",19.5466425889845
"25","Van Buren","less than 10 minutes",2.95457503579331
"26","Van Buren","10 to 29 minutes",35.1685539502798
"27","Van Buren","30 to 59 minutes",41.9983970077478
"28","Van Buren","60 or more minutes",19.8784740061791
"29","Alcona","less than 10 minutes",2.50787102377592
"30","Alcona","10 to 29 minutes",26.6094886548692
"31","Alcona","30 to 59 minutes",42.6446639887092
"32","Alcona","60 or more minutes",28.2379763326457
"33","Alger","less than 10 minutes",5.94488510916674
"34","Alger","10 to 29 minutes",29.5608798757053
"35","Alger","30 to 59 minutes",38.0243683048491
"36","Alger","60 or more minutes",26.4780439937853
"37","Allegan","less than 10 minutes",2.82881992331056
"38","Allegan","10 to 29 minutes",37.3916821453911
"39","Allegan","30 to 59 minutes",42.010985244059
"40","Allegan","60 or more minutes",17.7689112810006
"41","Alpena","less than 10 minutes",8.50522159297553
"42","Alpena","10 to 29 minutes",45.1602847196966
"43","Alpena","30 to 59 minutes",22.2190471242272
"44","Alpena","60 or more minutes",24.1154465631007
"45","Antrim","less than 10 minutes",3.12889768182014
"46","Antrim","10 to 29 minutes",27.9364328415982
"47","Antrim","30 to 59 minutes",45.4346049632274
"48","Antrim","60 or more minutes",23.49576362307
"49","Arenac","less than 10 minutes",3.87641013624343
"50","Arenac","10 to 29 minutes",26.8771131121749
"51","Arenac","30 to 59 minutes",33.1905064774211
"52","Arenac","60 or more minutes",36.0526227697252
"53","Baraga","less than 10 minutes",8.32745947034538
"54","Baraga","10 to 29 minutes",36.4011680596113
"55","Baraga","30 to 59 minutes",22.8577182559662
"56","Baraga","60 or more minutes",32.423723693485
"57","Barry","less than 10 minutes",2.67091157535887
"58","Barry","10 to 29 minutes",25.0637440658149
"59","Barry","30 to 59 minutes",53.1294462366349
"60","Barry","60 or more minutes",19.135193767873
"61","Bay","less than 10 minutes",3.73190369858313
"62","Bay","10 to 29 minutes",38.9373225182393
"63","Bay","30 to 59 minutes",34.9940570030386
"64","Bay","60 or more minutes",22.3377114239819
"65","Benzie","less than 10 minutes",3.49506813387308
"66","Benzie","10 to 29 minutes",32.5617195963282
"67","Benzie","30 to 59 minutes",49.6978162951137
"68","Benzie","60 or more minutes",14.245395974685
"69","Charlevoix","less than 10 minutes",6.12678049240638
"70","Charlevoix","10 to 29 minutes",42.0974436373927
"71","Charlevoix","30 to 59 minutes",36.3078954815583
"72","Charlevoix","60 or more minutes",15.4702386567305
"73","Cheboygan","less than 10 minutes",3.93062114826659
"74","Cheboygan","10 to 29 minutes",30.7079777208327
"75","Cheboygan","30 to 59 minutes",40.7293674156589
"76","Cheboygan","60 or more minutes",24.6320337152417
"77","Chippewa","less than 10 minutes",8.91697706132584
"78","Chippewa","10 to 29 minutes",44.26126071116
"79","Chippewa","30 to 59 minutes",25.9327105086402
"80","Chippewa","60 or more minutes",20.889051718874
"81","Clare","less than 10 minutes",2.84670231729055
"82","Clare","10 to 29 minutes",22.2994652406417
"83","Clare","30 to 59 minutes",39.9286987522282
"84","Clare","60 or more minutes",34.9269162210339
"85","Clinton","less than 10 minutes",2.71081267042124
"86","Clinton","10 to 29 minutes",42.7709538492903
"87","Clinton","30 to 59 minutes",31.4467011544048
"88","Clinton","60 or more minutes",23.0715323258836
"89","Crawford","less than 10 minutes",4.80476673427992
"90","Crawford","10 to 29 minutes",28.6257606490872
"91","Crawford","30 to 59 minutes",24.1928668018932
"92","Crawford","60 or more minutes",42.3766058147397
"93","Delta","less than 10 minutes",8.72678627636135
"94","Delta","10 to 29 minutes",42.5499685237646
"95","Delta","30 to 59 minutes",22.6294460182562
"96","Delta","60 or more minutes",26.0937991816179
"97","Dickinson","less than 10 minutes",9.87487597839268
"98","Dickinson","10 to 29 minutes",39.9487377356411
"99","Dickinson","30 to 59 minutes",25.3031639290045
"100","Dickinson","60 or more minutes",24.87597839268
"101","Eaton","less than 10 minutes",3.31343167475374
"102","Eaton","10 to 29 minutes",41.2542906873851
"103","Eaton","30 to 59 minutes",32.7142426511343
"104","Eaton","60 or more minutes",22.7185211835977
"105","Emmet","less than 10 minutes",6.91535590736354
"106","Emmet","10 to 29 minutes",43.2490925512517
"107","Emmet","30 to 59 minutes",31.9251546497163
"108","Emmet","60 or more minutes",17.9086927625637
"109","Genesee","less than 10 minutes",2.40803843421512
"110","Genesee","10 to 29 minutes",31.8335721424185
"111","Genesee","30 to 59 minutes",34.5354059553768
"112","Genesee","60 or more minutes",31.2231038759317
"113","Gladwin","less than 10 minutes",2.56910698637776
"114","Gladwin","10 to 29 minutes",22.9327650760774
"115","Gladwin","30 to 59 minutes",41.8007647574285
"116","Gladwin","60 or more minutes",32.6973631801163
"117","Gogebic","less than 10 minutes",8.52344889223388
"118","Gogebic","10 to 29 minutes",33.4634742932405
"119","Gogebic","30 to 59 minutes",21.6802295498377
"120","Gogebic","60 or more minutes",36.3328472646879
"121","Grand Traverse","less than 10 minutes",3.58658542368059
"122","Grand Traverse","10 to 29 minutes",51.470553369055
"123","Grand Traverse","30 to 59 minutes",27.5422020958794
"124","Grand Traverse","60 or more minutes",17.4012518374508
"125","Gratiot","less than 10 minutes",5.27374986672353
"126","Gratiot","10 to 29 minutes",30.4590041582258
"127","Gratiot","30 to 59 minutes",36.0752745495255
"128","Gratiot","60 or more minutes",28.1919714255251
"129","Hillsdale","less than 10 minutes",3.84408448285731
"130","Hillsdale","10 to 29 minutes",31.4486863945968
"131","Hillsdale","30 to 59 minutes",38.5312804075325
"132","Hillsdale","60 or more minutes",26.1748039608494
"133","Houghton","less than 10 minutes",9.92590039634672
"134","Houghton","10 to 29 minutes",53.1600034464932
"135","Houghton","30 to 59 minutes",20.1490608306049
"136","Houghton","60 or more minutes",16.7650353265552
"137","Huron","less than 10 minutes",5.44533639143731
"138","Huron","10 to 29 minutes",38.2148318042813
"139","Huron","30 to 59 minutes",30.1681957186544
"140","Huron","60 or more minutes",26.1735474006116
"141","Ingham","less than 10 minutes",3.58044819539017
"142","Ingham","10 to 29 minutes",52.2091152243641
"143","Ingham","30 to 59 minutes",24.6807966497235
"144","Ingham","60 or more minutes",19.5294268086059
