"","NAME","Total","Black or African American","Some other race","Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino"
"1","Kalamazoo",5.5,8.2,16.9,8.1,11.7,4.5
"2","Berrien",6.2,17.2,3.7,5,4.1,4.7
"3","Branch",5.7,23.4,2.3,4.7,3.6,5.8
"4","Calhoun",6.4,12.4,10.3,10.6,6.2,5.2
"5","Cass",5,4.2,7.7,6.5,5,4.9
"6","St. Joseph",5.9,6.9,9,9.1,9.5,5.5
"7","Van Buren",4.2,1.3,4,7.4,8.1,3.6
"8","Alcona",4.5,0,0,4,4.4,4.7
"9","Alger",6.8,NA,13.9,12.9,17.9,6.3
"10","Allegan",3,12,1.1,3.7,5,2.7
"11","Alpena",6.2,9.1,0,2.3,0,6.4
"12","Antrim",3.9,37.3,0,7,0,3.6
"13","Arenac",6,11.1,0,3.8,1.5,6.1
"14","Baraga",5.1,0,0,15.9,0,4.4
"15","Barry",4.3,14.7,0.7,10,3.1,4.1
"16","Bay",4.3,8.9,4.5,6.7,11.7,3.8
"17","Benzie",3.1,0,0,1.3,0,3.3
"18","Charlevoix",3.4,1.9,0,4.1,1.2,3.4
"19","Cheboygan",6.1,8.2,17.6,10.2,7.2,5.9
"20","Chippewa",5.2,54.1,3.8,13.8,11.1,2.9
"21","Clare",9.5,7,0,14.5,11.6,9.4
"22","Clinton",3.8,8.3,4.2,5,3.8,3.7
"23","Crawford",8.2,0,0,9.9,19.4,8.1
"24","Delta",4.2,7.7,16.1,3.8,11.5,4.1
"25","Dickinson",3.6,0,0,5.7,1.4,3.6
"26","Eaton",4.5,13.5,6.9,7,6.7,3.4
"27","Emmet",3.2,7.8,0,6.7,0.5,3
"28","Genesee",8.1,14.5,10.9,7.5,12.6,6.2
"29","Gladwin",6.8,0,0,0.3,0,7.2
"30","Gogebic",6.5,47.1,0,3.4,10.2,6.9
"31","Grand Traverse",3.8,2.8,0,4.1,0.8,3.8
"32","Gratiot",4.2,3.2,1.6,7.8,8.2,3.9
"33","Hillsdale",4.4,1.8,0,7.7,5.2,4.2
"34","Houghton",5.7,0,0,7.2,5.7,5.6
"35","Huron",4.1,1.5,1.7,15.7,11.2,3.8
"36","Ingham",6.2,14.4,6.9,8.9,8.8,4.8
"37","Ionia",3.9,37.2,4.8,4.9,2.9,3.2
"38","Iosco",6.5,30.9,0,3.6,2.4,6.7
"39","Iron",5.4,71.4,0,7.3,1.3,5.3
"40","Isabella",6.4,7,4.8,10.8,7.2,5.9
"41","Jackson",5.5,13.5,15.6,7.1,10,4.7
"42","Kalkaska",3.8,22.6,0.8,2.5,0,3.7
"43","Kent",4.2,8.1,5.2,6.4,6.2,3.3
"44","Keweenaw",2.2,NA,0,1.8,0,2.2
"45","Lake",7.4,15.3,6.1,2.5,0,7.8
"46","Lapeer",5.1,6.9,8.7,7.8,8.4,4.8
"47","Leelanau",3.4,0,0,7.2,2.4,2.6
"48","Lenawee",4.7,13.5,5.3,4.5,5.1,4.5
"49","Livingston",3.4,0.6,2.5,3.5,4.6,3.4
"50","Luce",9.9,0,100,0,70.6,7.4
"51","Mackinac",8,7.6,0,6.2,0.8,7.3
"52","Macomb",5.7,11.3,5.1,7,4.9,4.8
"53","Manistee",6.4,10.9,0,10.7,16.9,5.6
"54","Marquette",4.6,15.9,20.7,4.8,5.9,4.4
"55","Mason",4.5,0,0.6,5.2,5.6,4.7
"56","Mecosta",4,6.4,9.7,5.8,12.3,3.7
"57","Menominee",4.2,26.1,11.1,5.9,2.6,3.8
"58","Midland",4.4,12.3,4,5.9,3.8,4.2
"59","Missaukee",6.7,79.3,18.6,9.5,6.4,6.2
"60","Monroe",5.1,10,2.1,10.7,5.8,4.7
"61","Montcalm",5,10.2,4.4,12.4,8,4.2
"62","Montmorency",5.3,0,0,4.1,0,5.5
"63","Muskegon",6.4,12.9,7.6,11.7,9.2,5
"64","Newaygo",4.4,20.7,14.6,4,5.7,3.9
"65","Oakland",4.8,8.6,9.5,6.2,7.5,4.1
"66","Oceana",6.5,16.4,5.6,6.5,7.5,6.1
"67","Ogemaw",6.2,0,12.9,2.8,9.2,6.4
"68","Ontonagon",5.3,0,46.2,9.3,5.7,4.6
"69","Osceola",6.4,19.1,4.2,8.2,8.1,6.2
"70","Oscoda",8,100,0,13.6,2.4,7.4
"71","Otsego",4,0,16.3,9.1,5.2,3.8
"72","Ottawa",3.5,7.7,2.7,2.6,3.1,3.5
"73","Presque Isle",6.5,0,0,13.5,19.8,6.3
"74","Roscommon",4.7,0,12,5,20.7,4.6
"75","Saginaw",6.4,13.5,5,8.9,8.4,4.6
"76","Sanilac",6,0,11.1,7.7,8.2,5.8
"77","Schoolcraft",6.2,0,0,3.6,13.2,7.1
"78","Shiawassee",4,0,1.3,2.9,2.9,4.1
"79","St. Clair",5.7,20.1,6.4,7.7,8.6,5.3
"80","Tuscola",6,2.3,0,7.2,5.7,6
"81","Washtenaw",4.6,8.7,4.9,6.1,6.5,3.8
"82","Wayne",8.7,13.7,8.4,9.3,7.7,5.6
"83","Wexford",5.3,29.1,0,11.2,6.1,4.9
