"","NAME","No Vehicles","One Vehicle","Two Vehicles","Three Or More Vehicles"
"1","Kalamazoo",7.3,34.8,38.2,19.7
"2","Berrien",8,35.2,37.6,19.2
"3","Branch",6.7,31.9,40.8,20.6
"4","Calhoun",7,36.2,38.3,18.4
"5","Cass",5.1,30.1,37.1,27.7
"6","St. Joseph",7.9,29.4,37.5,25.2
"7","Van Buren",5.7,31.9,38.9,23.4
"8","Alcona",3.5,35.8,43,17.7
"9","Alger",5.6,34.1,39.7,20.6
"10","Allegan",2.5,27.6,42.8,27.2
"11","Alpena",8,35.9,40,16.1
"12","Antrim",3.5,30.2,43.6,22.7
"13","Arenac",6.6,29.5,41.1,22.8
"14","Baraga",6.8,32.7,36.3,24.3
"15","Barry",3.4,26.8,40.5,29.2
"16","Bay",6.6,35.2,38,20.3
"17","Benzie",2.5,29.1,45.6,22.8
"18","Charlevoix",5.4,29.3,43.3,22
"19","Cheboygan",4.8,32.9,42,20.3
"20","Chippewa",6.9,36.8,39.1,17.1
"21","Clare",7.8,37.7,34.5,20
"22","Clinton",2.8,29,41.8,26.4
"23","Crawford",8.3,29.8,41,20.9
"24","Delta",7.2,32.3,41.5,19
"25","Dickinson",7.3,32.4,41.9,18.4
"26","Eaton",5.3,33.2,40.9,20.6
"27","Emmet",5,33.7,38.6,22.6
"28","Genesee",7.4,36.7,36.6,19.3
"29","Gladwin",7.8,30.8,41.5,20
"30","Gogebic",7.6,39.7,37.5,15.2
"31","Grand Traverse",4.9,32,43.1,20
"32","Gratiot",5.2,30.5,38.8,25.4
"33","Hillsdale",5.5,29.2,41.2,24.1
"34","Houghton",6.5,35.1,36.7,21.7
"35","Huron",6.3,33.4,38.9,21.4
"36","Ingham",8.9,39.7,37.2,14.2
"37","Ionia",6.2,27.8,39.5,26.5
"38","Iosco",7.2,40.2,37.1,15.6
"39","Iron",6.6,35.9,40.3,17.2
"40","Isabella",7.2,33,38.5,21.3
"41","Jackson",6.7,36,35.5,21.7
"42","Kalkaska",5,29.6,41.3,24.1
"43","Kent",6.2,32.7,42.2,18.9
"44","Keweenaw",2.4,44.3,35.2,18.1
"45","Lake",6.9,38.4,36.3,18.5
"46","Lapeer",4.5,27.2,37,31.3
"47","Leelanau",2.8,25.4,46.8,25
"48","Lenawee",5.4,29.9,40.1,24.7
"49","Livingston",3.2,24.7,44,28.1
"50","Luce",5.6,33.1,41.7,19.6
"51","Mackinac",10.1,33.5,39.4,17
"52","Macomb",6.2,36.3,37.9,19.6
"53","Manistee",4.8,32.3,39.1,23.8
"54","Marquette",5.9,32.6,41.5,20
"55","Mason",6.5,33.3,38.9,21.3
"56","Mecosta",7.1,30.6,39.7,22.6
"57","Menominee",6.9,33.9,37.4,21.9
"58","Midland",5.4,31.1,41.5,22
"59","Missaukee",4.7,31.1,39.9,24.4
"60","Monroe",4.7,29.2,40.5,25.5
"61","Montcalm",5.7,29.1,41.2,23.9
"62","Montmorency",6.6,34,37.8,21.6
"63","Muskegon",7.4,31.4,40.4,20.8
"64","Newaygo",4.7,28.7,39.3,27.3
"65","Oakland",5.3,35.3,40.4,19
"66","Oceana",4.3,28.9,40.1,26.7
"67","Ogemaw",5.7,33.2,39.1,22
"68","Ontonagon",4.7,34,41.4,19.9
"69","Osceola",7,29.6,39.8,23.6
"70","Oscoda",9.5,34,38.6,17.9
"71","Otsego",4.1,33.8,41.6,20.6
"72","Ottawa",3.7,26.1,44.8,25.4
"73","Presque Isle",6.3,29.7,39.8,24.1
"74","Roscommon",6.8,39.1,35.7,18.5
"75","Saginaw",7,36.3,35.7,20.9
"76","Sanilac",5.9,32.6,36.1,25.4
"77","Schoolcraft",5.3,33.5,45,16.1
"78","Shiawassee",5.6,29.8,38.8,25.8
"79","St. Clair",5.9,30.4,38.7,25
"80","Tuscola",6.2,28.8,37.5,27.5
"81","Washtenaw",8.2,37,37.8,17
"82","Wayne",11.6,41,32.5,15
"83","Wexford",6,33,39.5,21.6
