"","year","period","county_fips","county","footnotes","employment","labor_force","unemployment","unemployment_rate","MI_unemployment_rate","MI_employment_population_ratio","MI_labor_force_participation_rate","AGE16PLUS_TOT","period_date","period_txt","LFPR","EPOP"
"1",2025,"Jun-25","077","Kalamazoo","T Data were subject to revision on May 19, 2026.",134052,141317,7265,5.1,5.2,58.4,61.6,217563.716282874,2025-06-01,"Jun-25",64.9543050718352,61.6150534152979
"2",2025,"Jun-25","021","Berrien","T Data were subject to revision on May 19, 2026.",73625,78046,4421,5.7,5.2,58.4,61.6,125145.652937761,2025-06-01,"Jun-25",62.3641318478835,58.8314482138793
"3",2025,"Jun-25","023","Branch","T Data were subject to revision on May 19, 2026.",21917,23020,1103,4.8,5.2,58.4,61.6,37079.9422650956,2025-06-01,"Jun-25",62.0820815615708,59.1074275232383
"4",2025,"Jun-25","025","Calhoun","T Data were subject to revision on May 19, 2026.",61583,65560,3977,6.1,5.2,58.4,61.6,107788.047221488,2025-06-01,"Jun-25",60.8230705444402,57.133422107051
"5",2025,"Jun-25","027","Cass","T Data were subject to revision on May 19, 2026.",23212,24542,1330,5.4,5.2,58.4,61.6,42901.2912052566,2025-06-01,"Jun-25",57.2057374277652,54.1055976356159
"6",2025,"Jun-25","149","St. Joseph","T Data were subject to revision on May 19, 2026.",27449,28993,1544,5.3,5.2,58.4,61.6,48621.5608396464,2025-06-01,"Jun-25",59.6299244600945,56.454378522579
"7",2025,"Jun-25","159","Van Buren","T Data were subject to revision on May 19, 2026.",35582,37711,2129,5.6,5.2,58.4,61.6,61367.9438765037,2025-06-01,"Jun-25",61.4506493420885,57.9814113889898
"8",2025,"Jun-25","001","Alcona","T Data were subject to revision on May 19, 2026.",3300,3617,317,8.8,5.2,58.4,61.6,9513.97316242766,2025-06-01,"Jun-25",38.0177654303689,34.6858241416139
"9",2025,"Jun-25","003","Alger","T Data were subject to revision on May 19, 2026.",3507,3772,265,7,5.2,58.4,61.6,7603.03264418721,2025-06-01,"Jun-25",49.6117822522284,46.1263309540204
"10",2025,"Jun-25","005","Allegan","T Data were subject to revision on May 19, 2026.",62963,66026,3063,4.6,5.2,58.4,61.6,99362.2332487227,2025-06-01,"Jun-25",66.4497946968687,63.367134515175
"11",2025,"Jun-25","007","Alpena","T Data were subject to revision on May 19, 2026.",13089,13875,786,5.7,5.2,58.4,61.6,24260.3706866618,2025-06-01,"Jun-25",57.1920362603048,53.952184692694
"12",2025,"Jun-25","009","Antrim","T Data were subject to revision on May 19, 2026.",11118,11765,647,5.5,5.2,58.4,61.6,21387.2132663122,2025-06-01,"Jun-25",55.0095042935373,51.9843322342157
"13",2025,"Jun-25","011","Arenac","T Data were subject to revision on May 19, 2026.",6495,6966,471,6.8,5.2,58.4,61.6,12719.1760960382,2025-06-01,"Jun-25",54.7676983745024,51.0646283293702
"14",2025,"Jun-25","013","Baraga","T Data were subject to revision on May 19, 2026.",3080,3326,246,7.4,5.2,58.4,61.6,6948.30186235797,2025-06-01,"Jun-25",47.8678109541903,44.3273775522869
"15",2025,"Jun-25","015","Barry","T Data were subject to revision on May 19, 2026.",29723,31382,1659,5.3,5.2,58.4,61.6,52775.2600873461,2025-06-01,"Jun-25",59.4634682009354,56.3199498227138
"16",2025,"Jun-25","017","Bay","T Data were subject to revision on May 19, 2026.",47343,50518,3175,6.3,5.2,58.4,61.6,85640.3236521175,2025-06-01,"Jun-25",58.9885673543352,55.2812016361751
"17",2025,"Jun-25","019","Benzie","T Data were subject to revision on May 19, 2026.",9006,9484,478,5,5.2,58.4,61.6,16018.2807495241,2025-06-01,"Jun-25",59.2073528258129,56.2232622890417
"18",2025,"Jun-25","029","Charlevoix","T Data were subject to revision on May 19, 2026.",14035,14695,660,4.5,5.2,58.4,61.6,22355.024640043,2025-06-01,"Jun-25",65.7346625048127,62.7823061078629
"19",2025,"Jun-25","031","Cheboygan","T Data were subject to revision on May 19, 2026.",11556,12228,672,5.5,5.2,58.4,61.6,22836.7274639659,2025-06-01,"Jun-25",53.5453252629764,50.6026969855214
"20",2025,"Jun-25","033","Chippewa","T Data were subject to revision on May 19, 2026.",16616,17804,1188,6.7,5.2,58.4,61.6,30564.8542856536,2025-06-01,"Jun-25",58.2499096302147,54.3630924744803
"21",2025,"Jun-25","035","Clare","T Data were subject to revision on May 19, 2026.",11332,12266,934,7.6,5.2,58.4,61.6,26343.125643028,2025-06-01,"Jun-25",46.5624321358629,43.0169151282894
"22",2025,"Jun-25","037","Clinton","T Data were subject to revision on May 19, 2026.",40390,42352,1962,4.6,5.2,58.4,61.6,66020.3304860767,2025-06-01,"Jun-25",64.1499363729053,61.1781245301673
"23",2025,"Jun-25","039","Crawford","T Data were subject to revision on May 19, 2026.",5572,5981,409,6.8,5.2,58.4,61.6,11693.8280735992,2025-06-01,"Jun-25",51.1466387427325,47.6490672252977
"24",2025,"Jun-25","041","Delta","T Data were subject to revision on May 19, 2026.",16150,17216,1066,6.2,5.2,58.4,61.6,30904.5165487844,2025-06-01,"Jun-25",55.7070678417624,52.257733831579
"25",2025,"Jun-25","043","Dickinson","T Data were subject to revision on May 19, 2026.",12060,12720,660,5.2,5.2,58.4,61.6,21667.1957503534,2025-06-01,"Jun-25",58.706258745055,55.6601792818682
"26",2025,"Jun-25","045","Eaton","T Data were subject to revision on May 19, 2026.",54553,57440,2887,5,5.2,58.4,61.6,90165.8493126685,2025-06-01,"Jun-25",63.7048288657661,60.5029514121542
"27",2025,"Jun-25","047","Emmet","T Data were subject to revision on May 19, 2026.",18214,19227,1013,5.3,5.2,58.4,61.6,28934.3248212282,2025-06-01,"Jun-25",66.4504878506575,62.9494557503446
"28",2025,"Jun-25","049","Genesee","T Data were subject to revision on May 19, 2026.",179049,191628,12579,6.6,5.2,58.4,61.6,325352.035476268,2025-06-01,"Jun-25",58.8986633261675,55.0323896815025
"29",2025,"Jun-25","051","Gladwin","T Data were subject to revision on May 19, 2026.",10073,10802,729,6.7,5.2,58.4,61.6,21850.3301690509,2025-06-01,"Jun-25",49.4363239201763,46.0999898951987
"30",2025,"Jun-25","053","Gogebic","T Data were subject to revision on May 19, 2026.",5493,5887,394,6.7,5.2,58.4,61.6,12241.0063011306,2025-06-01,"Jun-25",48.092451349006,44.8737617224546
"31",2025,"Jun-25","055","Grand Traverse","T Data were subject to revision on May 19, 2026.",53873,56193,2320,4.1,5.2,58.4,61.6,81253.675415323,2025-06-01,"Jun-25",69.1574869847709,66.302231529382
"32",2025,"Jun-25","057","Gratiot","T Data were subject to revision on May 19, 2026.",16667,17735,1068,6,5.2,58.4,61.6,34442.332633748,2025-06-01,"Jun-25",51.4918666763659,48.3910314009017
"33",2025,"Jun-25","059","Hillsdale","T Data were subject to revision on May 19, 2026.",20543,21794,1251,5.7,5.2,58.4,61.6,37069.6633065243,2025-06-01,"Jun-25",58.7920095734029,55.4172824018728
"34",2025,"Jun-25","061","Houghton","T Data were subject to revision on May 19, 2026.",16239,17343,1104,6.4,5.2,58.4,61.6,31823.8241276505,2025-06-01,"Jun-25",54.4969075068867,51.0278083955678
"35",2025,"Jun-25","063","Huron","T Data were subject to revision on May 19, 2026.",13819,14719,900,6.1,5.2,58.4,61.6,25706.6086111147,2025-06-01,"Jun-25",57.2576500567095,53.7566048056029
"36",2025,"Jun-25","065","Ingham","T Data were subject to revision on May 19, 2026.",145265,153760,8495,5.5,5.2,58.4,61.6,242661.803145303,2025-06-01,"Jun-25",63.363907301031,59.8631503257302
"37",2025,"Jun-25","067","Ionia","T Data were subject to revision on May 19, 2026.",30855,32467,1612,5,5.2,58.4,61.6,54583.913228963,2025-06-01,"Jun-25",59.4808947900286,56.5276437227441
"38",2025,"Jun-25","069","Iosco","T Data were subject to revision on May 19, 2026.",9350,10118,768,7.6,5.2,58.4,61.6,21663.7433789241,2025-06-01,"Jun-25",46.7047629905156,43.1596692984108
"39",2025,"Jun-25","071","Iron","T Data were subject to revision on May 19, 2026.",4173,4509,336,7.5,5.2,58.4,61.6,10029.1297042219,2025-06-01,"Jun-25",44.9590356589156,41.6087948114116
"40",2025,"Jun-25","073","Isabella","T Data were subject to revision on May 19, 2026.",29196,31151,1955,6.3,5.2,58.4,61.6,54984.1238734133,2025-06-01,"Jun-25",56.6545355377802,53.0989637430911
"41",2025,"Jun-25","075","Jackson","T Data were subject to revision on May 19, 2026.",71125,75373,4248,5.6,5.2,58.4,61.6,131848.175534731,2025-06-01,"Jun-25",57.1665096572729,53.9446220712129
"42",2025,"Jun-25","079","Kalkaska","T Data were subject to revision on May 19, 2026.",8788,9314,526,5.6,5.2,58.4,61.6,15657.5539704809,2025-06-01,"Jun-25",59.4856643480818,56.1262635055768
