"Survey","County","1-unit","2-units","3-4 units","5+ units"
"2010","Kalamazoo","279","10","0","0"
"2011","Kalamazoo","268","14","0","0"
"2012","Kalamazoo","363","32","0","6"
"2013","Kalamazoo","437","18","4","36"
"2014","Kalamazoo","430","10","4","36"
"2015","Kalamazoo","369","46","28","48"
"2016","Kalamazoo","461","30","0","129"
"2017","Kalamazoo","431","34","12","411"
"2018","Kalamazoo","352","34","0","74"
"2019","Kalamazoo","460","24","14","144"
"2020","Kalamazoo","444","22","30","0"
"2021","Kalamazoo","402","10","7","0"
"2022","Kalamazoo","341","22","54","40"
"2023","Kalamazoo","409","2","7","300"
"2024","Kalamazoo","284","4","13","0"
"2025","Kalamazoo","479","8","0","0"
"2010","Berrien","133","0","0","0"
"2011","Berrien","130","2","4","0"
"2012","Berrien","145","0","6","0"
"2013","Berrien","146","2","0","43"
"2014","Berrien","184","0","0","0"
"2015","Berrien","168","0","12","28"
"2016","Berrien","246","2","0","64"
"2017","Berrien","224","0","0","13"
"2018","Berrien","237","2","0","63"
"2019","Berrien","201","2","3","0"
"2020","Berrien","248","12","0","0"
"2021","Berrien","325","0","0","6"
"2022","Berrien","259","22","0","5"
"2023","Berrien","303","0","4","48"
"2024","Berrien","339","12","3","0"
"2025","Berrien","255","40","4","73"
"2010","Branch","19","0","0","0"
"2011","Branch","17","0","0","0"
"2012","Branch","2","0","0","0"
"2013","Branch","1","0","0","0"
"2014","Branch","0","0","0","0"
"2015","Branch","30","0","0","0"
"2016","Branch","41","0","0","0"
"2017","Branch","82","2","0","0"
"2018","Branch","78","4","0","0"
"2019","Branch","77","2","0","0"
"2020","Branch","34","0","0","0"
"2021","Branch","35","0","0","0"
"2022","Branch","41","0","0","312"
"2023","Branch","41","0","0","0"
"2024","Branch","43","0","0","0"
"2025","Branch","40","4","0","0"
"2010","Calhoun","33","0","0","0"
"2011","Calhoun","33","0","0","16"
"2012","Calhoun","36","0","0","101"
"2013","Calhoun","47","0","0","0"
"2014","Calhoun","34","2","0","20"
"2015","Calhoun","59","0","0","0"
"2016","Calhoun","44","0","0","0"
"2017","Calhoun","78","0","0","6"
"2018","Calhoun","54","0","0","0"
"2019","Calhoun","54","2","0","0"
"2020","Calhoun","90","0","0","0"
"2021","Calhoun","108","0","0","0"
"2022","Calhoun","93","2","0","0"
"2023","Calhoun","131","0","0","0"
"2024","Calhoun","85","6","0","0"
"2025","Calhoun","120","0","0","0"
"2010","Cass","70","2","0","0"
"2011","Cass","75","0","0","0"
"2012","Cass","60","0","0","0"
"2013","Cass","78","0","0","0"
"2014","Cass","84","0","0","0"
"2015","Cass","89","0","0","0"
"2016","Cass","114","0","0","0"
"2017","Cass","134","0","0","0"
"2018","Cass","90","0","0","0"
"2019","Cass","105","0","0","0"
"2020","Cass","269","0","0","0"
"2021","Cass","128","0","0","0"
"2022","Cass","151","2","0","0"
"2023","Cass","131","0","0","0"
"2024","Cass","140","0","0","0"
"2025","Cass","140","0","0","0"
"2010","St. Joseph","32","0","0","0"
"2011","St. Joseph","38","0","0","0"
"2012","St. Joseph","28","2","0","0"
"2013","St. Joseph","32","0","0","0"
"2014","St. Joseph","44","0","0","0"
"2015","St. Joseph","60","0","0","12"
"2016","St. Joseph","64","0","0","0"
"2017","St. Joseph","64","0","0","0"
"2018","St. Joseph","67","0","0","0"
"2019","St. Joseph","85","0","0","0"
"2020","St. Joseph","99","0","0","0"
"2021","St. Joseph","78","0","0","0"
"2022","St. Joseph","118","0","0","0"
"2023","St. Joseph","115","0","0","0"
"2024","St. Joseph","102","0","0","78"
"2025","St. Joseph","142","8","0","90"
"2010","Van Buren","72","0","6","0"
"2011","Van Buren","69","0","0","0"
"2012","Van Buren","69","0","0","0"
"2013","Van Buren","74","0","0","0"
"2014","Van Buren","81","0","0","0"
"2015","Van Buren","132","0","0","0"
"2016","Van Buren","102","2","0","0"
"2017","Van Buren","148","0","0","0"
"2018","Van Buren","119","0","0","0"
"2019","Van Buren","123","2","0","0"
"2020","Van Buren","164","0","0","12"
"2021","Van Buren","246","0","0","0"
"2022","Van Buren","173","0","0","0"
"2023","Van Buren","189","16","0","0"
"2024","Van Buren","208","4","0","0"
"2025","Van Buren","200","10","0","0"
"2010","Alcona","20","0","0","0"
"2011","Alcona","19","0","0","0"
"2012","Alcona","20","0","0","0"
"2013","Alcona","19","0","0","0"
"2014","Alcona","23","0","0","0"
"2015","Alcona","24","0","0","0"
"2016","Alcona","24","0","0","0"
"2017","Alcona","26","0","0","0"
"2018","Alcona","26","0","0","0"
"2019","Alcona","26","0","0","0"
"2020","Alcona","29","0","0","0"
"2021","Alcona","40","0","0","0"
"2022","Alcona","39","0","0","0"
"2023","Alcona","35","0","0","0"
"2024","Alcona","38","0","0","0"
"2025","Alcona","48","0","0","0"
"2010","Alger","35","0","0","0"
"2011","Alger","37","0","0","0"
"2012","Alger","22","0","0","0"
"2013","Alger","15","0","0","0"
"2014","Alger","28","0","0","0"
"2015","Alger","23","0","0","0"
"2016","Alger","24","0","0","0"
"2017","Alger","16","0","0","0"
"2018","Alger","25","0","0","0"
"2019","Alger","17","0","0","0"
"2020","Alger","19","0","0","0"
"2021","Alger","32","0","0","0"
"2022","Alger","29","0","0","0"
"2023","Alger","31","0","0","0"
"2024","Alger","33","0","0","0"
"2025","Alger","32","0","0","0"
"2010","Allegan","148","4","0","0"
"2011","Allegan","125","0","0","20"
"2012","Allegan","205","0","0","0"
"2013","Allegan","305","4","0","0"
"2014","Allegan","348","0","0","0"
"2015","Allegan","361","0","0","8"
"2016","Allegan","331","18","0","0"
"2017","Allegan","383","8","0","0"
"2018","Allegan","434","2","0","0"
"2019","Allegan","378","10","3","0"
"2020","Allegan","335","34","13","0"
"2021","Allegan","297","22","9","0"
"2022","Allegan","385","0","0","0"
"2023","Allegan","371","10","0","0"
"2024","Allegan","423","0","0","0"
"2025","Allegan","397","2","0","0"
"2010","Alpena","11","0","0","0"
"2011","Alpena","11","0","0","0"
"2012","Alpena","20","2","0","0"
"2013","Alpena","18","4","0","0"
"2014","Alpena","18","2","3","0"
"2015","Alpena","22","0","0","0"
"2016","Alpena","24","2","0","6"
"2017","Alpena","23","0","0","0"
"2018","Alpena","24","0","0","0"
"2019","Alpena","21","0","0","5"
"2020","Alpena","22","0","0","6"
"2021","Alpena","28","2","0","0"
"2022","Alpena","34","0","0","0"
"2023","Alpena","43","6","0","0"
"2024","Alpena","35","2","0","0"
"2025","Alpena","38","0","0","34"
"2010","Antrim","42","0","0","0"
"2011","Antrim","42","0","0","0"
"2012","Antrim","51","0","0","0"
"2013","Antrim","62","0","0","0"
"2014","Antrim","45","0","0","0"
"2015","Antrim","44","0","0","0"
"2016","Antrim","49","0","0","0"
"2017","Antrim","53","0","0","0"
"2018","Antrim","100","2","0","0"
"2019","Antrim","84","0","0","0"
"2020","Antrim","78","4","0","0"
"2021","Antrim","99","0","0","0"
"2022","Antrim","96","0","0","0"
"2023","Antrim","94","0","0","0"
"2024","Antrim","101","0","0","0"
"2025","Antrim","105","0","0","0"
"2010","Arenac","10","0","0","0"
"2011","Arenac","7","0","0","0"
"2012","Arenac","17","0","0","0"
"2013","Arenac","17","2","0","0"
"2014","Arenac","12","0","0","0"
"2015","Arenac","18","0","0","0"
"2016","Arenac","3","0","0","0"
"2017","Arenac","5","0","0","0"
"2018","Arenac","10","0","0","0"
"2019","Arenac","8","0","0","0"
"2020","Arenac","12","0","0","0"
"2021","Arenac","21","0","0","0"
"2022","Arenac","13","0","0","0"
"2023","Arenac","15","0","0","0"
"2024","Arenac","24","0","4","0"
"2025","Arenac","35","0","0","8"
"2010","Baraga","6","0","0","0"
"2011","Baraga","8","0","0","0"
"2012","Baraga","13","0","0","0"
"2013","Baraga","11","0","0","0"
"2014","Baraga","15","0","0","0"
"2015","Baraga","15","0","0","0"
"2016","Baraga","7","0","0","0"
"2017","Baraga","5","0","0","0"
"2018","Baraga","8","0","0","0"
"2019","Baraga","7","0","0","0"
"2020","Baraga","14","0","0","0"
"2021","Baraga","8","0","0","0"
"2022","Baraga","14","0","0","0"
"2023","Baraga","16","0","0","0"
"2024","Baraga","11","2","0","0"
"2025","Baraga","12","0","0","0"
"2010","Barry","84","0","0","0"
"2011","Barry","71","0","0","0"
"2012","Barry","86","0","0","0"
"2013","Barry","85","0","0","0"
"2014","Barry","86","0","0","0"
"2015","Barry","153","20","0","0"
"2016","Barry","149","22","0","0"
"2017","Barry","217","0","0","0"
"2018","Barry","216","0","0","0"
"2019","Barry","212","0","0","0"
"2020","Barry","188","0","0","0"
"2021","Barry","233","0","0","0"
"2022","Barry","195","0","0","0"
"2023","Barry","151","0","0","0"
"2024","Barry","171","0","0","0"
"2025","Barry","157","0","0","0"
"2010","Bay","54","0","0","0"
"2011","Bay","67","0","0","24"
"2012","Bay","47","0","12","36"
"2013","Bay","42","0","0","19"
"2014","Bay","37","0","0","25"
"2015","Bay","49","0","0","98"
"2016","Bay","63","0","0","8"
"2017","Bay","62","0","8","0"
"2018","Bay","85","0","0","0"
"2019","Bay","83","0","0","0"
"2020","Bay","79","0","0","56"
"2021","Bay","74","0","0","0"
"2022","Bay","67","0","0","0"
"2023","Bay","38","0","0","0"
"2024","Bay","35","0","0","0"
"2025","Bay","38","4","0","25"
