"","date","Michigan","United_States"
"1",2006-01-01,NA,NA
"2",2006-02-01,NA,NA
"3",2006-03-01,NA,NA
"4",2006-04-01,NA,NA
"5",2006-05-01,NA,NA
"6",2006-06-01,NA,NA
"7",2006-07-01,NA,NA
"8",2006-08-01,NA,NA
"9",2006-09-01,NA,NA
"10",2006-10-01,NA,NA
"11",2006-11-01,NA,NA
"12",2006-12-01,NA,NA
"13",2007-01-01,-4.51,-3.27542
"14",2007-02-01,0.33,-3.19026
"15",2007-03-01,4.62,-1.3384
"16",2007-04-01,0.88,-4.63457
"17",2007-05-01,-2.07,-1.63488
"18",2007-06-01,-3.32,0.93281
"19",2007-07-01,0.21,-0.18835
"20",2007-08-01,4.44,0.72812
"21",2007-09-01,3.34,5.12145
"22",2007-10-01,6.9,12.76678
"23",2007-11-01,13.83,8.05736
"24",2007-12-01,-3.17,-2.22542
"25",2008-01-01,14.12,1.44353
"26",2008-02-01,-6.88,-2.1313
"27",2008-03-01,-0.66,-0.5546
"28",2008-04-01,1.59,2.28113
"29",2008-05-01,3.01,-2.38046
"30",2008-06-01,5.08,-4.76167
"31",2008-07-01,-4.78,-6.56751
"32",2008-08-01,0.98,0.99867
"33",2008-09-01,-2.4,-6.54936
"34",2008-10-01,-6.91,-12.35867
"35",2008-11-01,0.59,-8.45287
"36",2008-12-01,-16.26,-13.04953
"37",2009-01-01,13.45,-8.69737
"38",2009-02-01,-3.03,-9.06507
"39",2009-03-01,-2.19,-7.54957
"40",2009-04-01,-10.42,-8.97831
"41",2009-05-01,-10.68,-7.0671
"42",2009-06-01,-7.2,-3.63112
"43",2009-07-01,1.57,0.63331
"44",2009-08-01,-11.07,-8.99862
"45",2009-09-01,-3.97,-3.23361
"46",2009-10-01,-3.68,0.13462
"47",2009-11-01,0.6,0.64539
"48",2009-12-01,0.73,3.21445
"49",2010-01-01,-1.36,1.964
"50",2010-02-01,9.15,3.36619
"51",2010-03-01,0.08,2.3692
"52",2010-04-01,5.65,3.89327
"53",2010-05-01,4.91,4.33686
"54",2010-06-01,6.02,1.31579
"55",2010-07-01,0.51,0.98197
"56",2010-08-01,3.91,2.5714
"57",2010-09-01,3.86,2.69379
"58",2010-10-01,5.76,5.06386
"59",2010-11-01,1.09,6.33823
"60",2010-12-01,-0.54,-0.46529
"61",2011-01-01,4.97,11.22604
"62",2011-02-01,3.08,10.72342
"63",2011-03-01,1.16,5.13345
"64",2011-04-01,2.03,3.43137
"65",2011-05-01,-16.53,-12.61754
"66",2011-06-01,3.87,7.73854
"67",2011-07-01,0.94,4.49605
"68",2011-08-01,-2.21,2.69726
"69",2011-09-01,-2.25,-0.56447
"70",2011-10-01,-8.25,-3.90275
"71",2011-11-01,-0.77,-0.94593
"72",2011-12-01,10.35,6.77636
"73",2012-01-01,-24.32,-7.66171
"74",2012-02-01,-4.56,-4.16387
"75",2012-03-01,-0.75,1.9116
"76",2012-04-01,-1.6,1.7205
"77",2012-05-01,21.9,16.78379
"78",2012-06-01,-5.68,-4.5786
"79",2012-07-01,-2.35,-3.76101
"80",2012-08-01,0.83,-2.31401
"81",2012-09-01,-6.39,-0.61443
"82",2012-10-01,1.99,2.24146
"83",2012-11-01,-4.63,-6.22897
"84",2012-12-01,8.31,11.71663
"85",2013-01-01,175.12,17.28865
"86",2013-02-01,0.27,-0.92946
"87",2013-03-01,-2.47,0.52623
"88",2013-04-01,-2.12,-2.17517
"89",2013-05-01,-10.45,-4.73885
"90",2013-06-01,-1.34,2.51817
"91",2013-07-01,4.77,3.24364
"92",2013-08-01,2.42,7.07285
"93",2013-09-01,4.44,1.5142
"94",2013-10-01,-3.42,2.66442
"95",2013-11-01,5.16,7.37183
"96",2013-12-01,-9.81,-11.95189
"97",2014-01-01,-18.6,-4.14063
"98",2014-02-01,2.02,4.22622
"99",2014-03-01,3.55,5.17055
"100",2014-04-01,1.63,5.71053
"101",2014-05-01,8.47,4.55313
"102",2014-06-01,12.31,6.89845
"103",2014-07-01,3.53,2.55232
"104",2014-08-01,-0.65,1.96833
"105",2014-09-01,9,7.6015
"106",2014-10-01,6.39,2.4367
"107",2014-11-01,-3.14,-1.58655
"108",2014-12-01,3.4,4.39737
"109",2015-01-01,120.26,8.24981
"110",2015-02-01,-4.61,4.08458
"111",2015-03-01,4.38,0.39819
"112",2015-04-01,0.23,2.04772
"113",2015-05-01,-5.81,2.88498
"114",2015-06-01,7.73,3.83919
"115",2015-07-01,3.38,6.49618
"116",2015-08-01,0.01,4.71065
"117",2015-09-01,3.5,4.23459
"118",2015-10-01,4.1,8.6935
"119",2015-11-01,-5.59,2.69089
"120",2015-12-01,2.33,6.54275
"121",2016-01-01,-6.08,4.2698
"122",2016-02-01,7.72,5.25414
"123",2016-03-01,2.46,5.01359
"124",2016-04-01,6.65,4.40536
"125",2016-05-01,19.11,10.58963
"126",2016-06-01,-5.9,0.35321
"127",2016-07-01,8.71,2.89449
"128",2016-08-01,7.3,5.64522
"129",2016-09-01,3.67,6.62502
