"","NAME","Civilian Population With a Disability","Hearing Difficulty","Vision Difficulty","Cognitive Difficulty","Ambulatory Difficulty","Self-Care Difficulty","Independent Living Difficulty"
"1","Kalamazoo",11.9,3.1,1.7,5.9,4.6,2,4.9
"2","Berrien",14.3,4.1,2.8,5.4,7.2,2.7,6.1
"3","Branch",15.9,4.6,2.6,6.4,7.5,2.6,6.2
"4","Calhoun",14.3,3.8,2.2,6.1,7.4,2.6,7
"5","Cass",16.1,4.9,2.6,6.5,8,2.8,6
"6","St. Joseph",16.6,4.7,2.8,7.4,8.7,2.9,6.8
"7","Van Buren",11.7,3.3,1.5,5.1,5.7,2.3,5.5
"8","Alcona",23.1,9.4,2.8,7.8,11.9,3.8,6.9
"9","Alger",20.5,6.9,4.1,6.5,9,3.9,5.7
"10","Allegan",11.6,3.5,1.5,5,5.3,2.2,5.3
"11","Alpena",22.1,7.2,3.5,9.6,9.9,2.8,7.6
"12","Antrim",16.2,4.6,2.2,6,7.6,2.6,6
"13","Arenac",17.7,5.8,3,6.6,9.3,3.8,8.8
"14","Baraga",22.1,7.2,2.8,7.5,10.2,3.9,7
"15","Barry",12.9,4,1.8,5.4,6,1.7,5.7
"16","Bay",16.8,4.4,1.8,7.1,8.4,2.6,6.8
"17","Benzie",17.6,5.5,2.8,7.5,8.2,3.6,8.3
"18","Charlevoix",14.8,4.9,3,5.7,7.8,2.2,5.6
"19","Cheboygan",19.2,5.6,2.8,7.8,9.5,3.5,8.3
"20","Chippewa",17.5,5.8,2.8,7.9,8.5,2.6,6.9
"21","Clare",24.3,6.6,3.7,9.8,13,4.7,10.4
"22","Clinton",12.9,3.7,1.8,6.3,5.8,2.2,5.4
"23","Crawford",23.9,7.3,4.5,9.3,11.1,3.5,8.1
"24","Delta",17.1,5.9,2.4,6.4,8.1,3,8
"25","Dickinson",17.7,5.8,2.4,9,7,2.4,7.6
"26","Eaton",15.3,4.8,2.6,6.8,7,2.6,7.1
"27","Emmet",13.4,4,1.8,5.8,6.7,1.9,6
"28","Genesee",17.8,4.4,2.3,8.6,9.2,3.1,7.9
"29","Gladwin",20.1,5.7,3.1,7.6,11.4,4,8.5
"30","Gogebic",19.1,6.5,2,7.2,9.6,3.4,9.2
"31","Grand Traverse",12.7,3.6,1.5,6.5,5.4,2.6,6
"32","Gratiot",16,4.9,2.7,6.8,7.7,2.4,6.8
"33","Hillsdale",16.3,4.3,2.5,6.5,9,2.9,6.9
"34","Houghton",11.6,3.4,1.7,4.4,4.8,1.3,4.4
"35","Huron",16.1,4.9,2.3,5.5,8.1,2.8,6.2
"36","Ingham",13.9,3.1,2.2,7.3,6,2,6.4
"37","Ionia",14.4,4,2.2,5.9,6.7,2,5.8
"38","Iosco",20.4,7.1,3.3,6.7,11.8,3.9,7.3
"39","Iron",22.9,7.3,3,9.1,11.3,4.3,9.6
"40","Isabella",14.9,3.9,2.2,8.1,6.6,2.8,6.3
"41","Jackson",14.5,3.7,2.2,6.8,7,2.6,6.3
"42","Kalkaska",18.7,5.5,1.9,8.2,10,3.4,7.5
