"","GeoName","rank_2024","TimePeriod","GDP_percent_change","Michigan_GDP_percent_change"
"1","Kalamazoo",7,"2021",5.21958355028336,5.18868139720465
"2","Kalamazoo",7,"2022",2.23072504530977,2.10056367620828
"3","Kalamazoo",7,"2023",-0.23863560911962,2.73222524554499
"4","Kalamazoo",7,"2024",2.38781099669825,1.37432430273656
"5","Berrien",13,"2021",-0.276696599840609,5.18868139720465
"6","Berrien",13,"2022",-2.34724702166287,2.10056367620828
"7","Berrien",13,"2023",0.0755574206305232,2.73222524554499
"8","Berrien",13,"2024",0.545682920295443,1.37432430273656
"9","Branch",39,"2021",4.96650287680311,5.18868139720465
"10","Branch",39,"2022",-0.697380950212201,2.10056367620828
"11","Branch",39,"2023",2.83769061643584,2.73222524554499
"12","Branch",39,"2024",2.24191247656027,1.37432430273656
"13","Calhoun",12,"2021",6.96822347561028,5.18868139720465
"14","Calhoun",12,"2022",4.52108057422802,2.10056367620828
"15","Calhoun",12,"2023",1.72661627868578,2.73222524554499
"16","Calhoun",12,"2024",3.10980147349427,1.37432430273656
"17","Cass",40,"2021",3.21158177144543,5.18868139720465
"18","Cass",40,"2022",14.3515448007179,2.10056367620828
"19","Cass",40,"2023",20.4654856822767,2.73222524554499
"20","Cass",40,"2024",-4.62820259500757,1.37432430273656
"21","St. Joseph",29,"2021",7.19909208498322,5.18868139720465
"22","St. Joseph",29,"2022",1.83867958285293,2.10056367620828
"23","St. Joseph",29,"2023",3.90072660549126,2.73222524554499
"24","St. Joseph",29,"2024",-0.216928459047705,1.37432430273656
"25","Van Buren",25,"2021",-0.63276984088021,5.18868139720465
"26","Van Buren",25,"2022",-6.4897261213981,2.10056367620828
"27","Van Buren",25,"2023",-4.58361035404348,2.73222524554499
"28","Van Buren",25,"2024",-2.68905462592842,1.37432430273656
"29","Alcona",80,"2021",5.36470847165416,5.18868139720465
"30","Alcona",80,"2022",1.33207422364574,2.10056367620828
"31","Alcona",80,"2023",-10.1441682091276,2.73222524554499
"32","Alcona",80,"2024",-2.22575896612373,1.37432430273656
"33","Alger",76,"2021",4.86980939414567,5.18868139720465
"34","Alger",76,"2022",2.00254781204612,2.10056367620828
"35","Alger",76,"2023",-0.0807407466331456,2.73222524554499
"36","Alger",76,"2024",1.05923516931443,1.37432430273656
"37","Allegan",21,"2021",4.34004903564935,5.18868139720465
"38","Allegan",21,"2022",-3.02809743377538,2.10056367620828
"39","Allegan",21,"2023",4.68112416068316,2.73222524554499
"40","Allegan",21,"2024",3.88081605780732,1.37432430273656
"41","Alpena",52,"2021",5.25957541453836,5.18868139720465
"42","Alpena",52,"2022",-1.10669884785282,2.10056367620828
"43","Alpena",52,"2023",1.7745457492593,2.73222524554499
"44","Alpena",52,"2024",1.95155587851235,1.37432430273656
"45","Antrim",62,"2021",9.25993450685494,5.18868139720465
"46","Antrim",62,"2022",-0.713248132640931,2.10056367620828
"47","Antrim",62,"2023",3.83608000168876,2.73222524554499
"48","Antrim",62,"2024",1.53832680960997,1.37432430273656
"49","Arenac",70,"2021",3.37950191297056,5.18868139720465
"50","Arenac",70,"2022",-1.53404063122189,2.10056367620828
"51","Arenac",70,"2023",5.46975742753835,2.73222524554499
"52","Arenac",70,"2024",0.904880987514067,1.37432430273656
"53","Baraga",74,"2021",6.60319903752387,5.18868139720465
"54","Baraga",74,"2022",-1.35709178594962,2.10056367620828
"55","Baraga",74,"2023",1.34413950910306,2.73222524554499
"56","Baraga",74,"2024",-0.893674161282065,1.37432430273656
"57","Barry",34,"2021",3.70117976329092,5.18868139720465
"58","Barry",34,"2022",6.27156959223987,2.10056367620828
"59","Barry",34,"2023",1.63709381375508,2.73222524554499
"60","Barry",34,"2024",8.05917105531322,1.37432430273656
"61","Bay",22,"2021",8.55418721847148,5.18868139720465
"62","Bay",22,"2022",-1.90039746807339,2.10056367620828
"63","Bay",22,"2023",-2.46802336034453,2.73222524554499
"64","Bay",22,"2024",0.747941331471114,1.37432430273656
"65","Benzie",65,"2021",10.3136946446091,5.18868139720465
"66","Benzie",65,"2022",3.90955336366878,2.10056367620828
"67","Benzie",65,"2023",2.70863039295801,2.73222524554499
"68","Benzie",65,"2024",1.37948250997211,1.37432430273656
"69","Charlevoix",43,"2021",12.7423569515985,5.18868139720465
"70","Charlevoix",43,"2022",3.54500003974216,2.10056367620828
"71","Charlevoix",43,"2023",0.826661344428148,2.73222524554499
"72","Charlevoix",43,"2024",3.04473843890918,1.37432430273656
"73","Cheboygan",59,"2021",11.0356591917158,5.18868139720465
"74","Cheboygan",59,"2022",2.30597976678739,2.10056367620828
"75","Cheboygan",59,"2023",2.22829473072945,2.73222524554499
"76","Cheboygan",59,"2024",2.57809506762543,1.37432430273656
"77","Chippewa",48,"2021",6.94170724801282,5.18868139720465
"78","Chippewa",48,"2022",4.63870119873298,2.10056367620828
"79","Chippewa",48,"2023",2.33039611036496,2.73222524554499
"80","Chippewa",48,"2024",1.42433137238045,1.37432430273656
"81","Clare",50,"2021",0.58590986195024,5.18868139720465
"82","Clare",50,"2022",-2.66388625727454,2.10056367620828
"83","Clare",50,"2023",8.585152646687,2.73222524554499
"84","Clare",50,"2024",3.1305048149624,1.37432430273656
"85","Clinton",28,"2021",6.83366935995582,5.18868139720465
"86","Clinton",28,"2022",1.91134113955653,2.10056367620828
"87","Clinton",28,"2023",1.95238044779757,2.73222524554499
"88","Clinton",28,"2024",1.46433756217292,1.37432430273656
"89","Crawford",71,"2021",12.4050464872732,5.18868139720465
"90","Crawford",71,"2022",-6.95106935322665,2.10056367620828
"91","Crawford",71,"2023",-1.56067842503103,2.73222524554499
"92","Crawford",71,"2024",0.248080302567244,1.37432430273656
"93","Delta",47,"2021",2.90965977729591,5.18868139720465
"94","Delta",47,"2022",-0.817871863194131,2.10056367620828
"95","Delta",47,"2023",-1.28409351647499,2.73222524554499
"96","Delta",47,"2024",3.91693895501473,1.37432430273656
"97","Dickinson",44,"2021",9.5713384674085,5.18868139720465
"98","Dickinson",44,"2022",-5.89561297034853,2.10056367620828
"99","Dickinson",44,"2023",0.00377589889049013,2.73222524554499
"100","Dickinson",44,"2024",-0.0790643373774214,1.37432430273656
"101","Eaton",18,"2021",8.00278498497664,5.18868139720465
"102","Eaton",18,"2022",7.59655429409831,2.10056367620828
"103","Eaton",18,"2023",0.263801443810441,2.73222524554499
"104","Eaton",18,"2024",2.4238029797554,1.37432430273656
"105","Emmet",30,"2021",11.8123505044631,5.18868139720465
"106","Emmet",30,"2022",1.76623579942234,2.10056367620828
"107","Emmet",30,"2023",2.38607530915191,2.73222524554499
"108","Emmet",30,"2024",3.03223343175263,1.37432430273656
"109","Genesee",8,"2021",2.07219519880781,5.18868139720465
"110","Genesee",8,"2022",0.728832408545621,2.10056367620828
"111","Genesee",8,"2023",3.12717642315163,2.73222524554499
"112","Genesee",8,"2024",1.99812949576359,1.37432430273656
"113","Gladwin",66,"2021",-2.46854780172584,5.18868139720465
"114","Gladwin",66,"2022",-0.870900328400226,2.10056367620828
"115","Gladwin",66,"2023",6.00616104772231,2.73222524554499
"116","Gladwin",66,"2024",8.01439193467215,1.37432430273656
"117","Gogebic",69,"2021",4.86272684969753,5.18868139720465
"118","Gogebic",69,"2022",0.760721417477583,2.10056367620828
"119","Gogebic",69,"2023",0.28919856973586,2.73222524554499
"120","Gogebic",69,"2024",2.58001647797848,1.37432430273656
"121","Grand Traverse",20,"2021",6.92092305809688,5.18868139720465
"122","Grand Traverse",20,"2022",3.57819710729397,2.10056367620828
"123","Grand Traverse",20,"2023",4.45762313893143,2.73222524554499
"124","Grand Traverse",20,"2024",1.83493963913619,1.37432430273656
"125","Gratiot",38,"2021",3.05091119811489,5.18868139720465
"126","Gratiot",38,"2022",2.39235942709271,2.10056367620828
"127","Gratiot",38,"2023",0.65345967947088,2.73222524554499
"128","Gratiot",38,"2024",1.2550613149678,1.37432430273656
"129","Hillsdale",33,"2021",16.1722458605945,5.18868139720465
"130","Hillsdale",33,"2022",1.43658720551314,2.10056367620828
"131","Hillsdale",33,"2023",1.80591219668227,2.73222524554499
"132","Hillsdale",33,"2024",-0.169260207977862,1.37432430273656
"133","Houghton",49,"2021",8.21131875864871,5.18868139720465
"134","Houghton",49,"2022",2.3342006970916,2.10056367620828
"135","Houghton",49,"2023",1.47472017933088,2.73222524554499
"136","Houghton",49,"2024",3.8440814796322,1.37432430273656
"137","Huron",35,"2021",0.451519380393117,5.18868139720465
"138","Huron",35,"2022",3.17155011539183,2.10056367620828
"139","Huron",35,"2023",6.18148931288467,2.73222524554499
"140","Huron",35,"2024",7.73992969370141,1.37432430273656
"141","Ingham",6,"2021",2.8422577651855,5.18868139720465
"142","Ingham",6,"2022",4.27284810817032,2.10056367620828
"143","Ingham",6,"2023",1.23208735807041,2.73222524554499
"144","Ingham",6,"2024",0.573715040597245,1.37432430273656
"145","Ionia",31,"2021",10.3497219442958,5.18868139720465
"146","Ionia",31,"2022",6.28831901764395,2.10056367620828
