"","NAME","Total","Black or African American","Some other race","Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino"
"1","Kalamazoo",95.3,93,81.9,95.8,88.2,96.2
"2","Berrien",93.6,93.6,84.1,93.7,88.7,94
"3","Branch",90.2,87.6,95.4,91.2,89.2,90.1
"4","Calhoun",94.2,95.9,81,90.3,86.7,94.8
"5","Cass",93.1,93.5,91.2,88.6,87.3,93.6
"6","St. Joseph",89.9,92.2,85,88,85.6,90.3
"7","Van Buren",93,93.5,78.1,90.4,84.4,94.4
"8","Alcona",96.1,100,90.8,95,95.5,96.1
"9","Alger",95.7,100,100,95.6,98.5,95.9
"10","Allegan",95.2,96.3,92.1,93.4,92.5,95.6
"11","Alpena",94.8,100,99.4,94.6,86.7,94.8
"12","Antrim",94.2,77.6,94.9,89.7,88.6,94.6
"13","Arenac",94,98.6,88.4,93.2,88.9,94.1
"14","Baraga",96.2,100,100,97.6,100,96.7
"15","Barry",94.8,92.4,98.6,94.3,94.3,94.7
"16","Bay",95.6,87.2,96.8,96.1,97.4,95.6
"17","Benzie",94.4,93.9,100,91.2,78.9,95.2
"18","Charlevoix",93.8,52.7,92.6,92.9,85.4,94.1
"19","Cheboygan",94.1,18,78.6,96.1,94.5,95.1
"20","Chippewa",94.3,100,98.8,92.7,90.2,95.5
"21","Clare",89.8,98.1,93,94.8,89.1,89.6
"22","Clinton",97.1,98.5,94.9,95.9,93,97.1
"23","Crawford",94.9,100,96.8,97.3,100,94.7
"24","Delta",95.2,90.3,98.6,96.2,95.3,95.4
"25","Dickinson",96.3,100,100,99,93.7,96.4
"26","Eaton",95.6,96,85.6,93.4,89.8,96.1
"27","Emmet",93.6,82.3,95.8,93.9,88.5,93.6
"28","Genesee",95.2,95.7,96.7,95.1,92.6,95.1
"29","Gladwin",91.9,60,89.9,92.3,96.2,91.9
"30","Gogebic",94.9,100,90.2,91.7,93.8,95
"31","Grand Traverse",95.7,95.4,91.2,93.5,92.4,95.9
"32","Gratiot",95.8,91.4,95.4,96,95.4,95.8
"33","Hillsdale",93.6,97.6,94.4,93.6,92.8,93.6
"34","Houghton",94.9,84.3,94.7,95.1,90.9,94.9
"35","Huron",95.2,100,91,91.3,84.3,95.5
"36","Ingham",95.1,92.5,90.1,94.8,93,95.8
"37","Ionia",94.8,94.7,98.3,90.5,90.1,95
"38","Iosco",95.4,96.7,94,95.1,96.9,95.5
"39","Iron",95,100,98.2,93.3,89.9,95.1
"40","Isabella",92.2,93,74.1,90.1,86,93.1
"41","Jackson",95.1,92.4,83.8,92.4,90.6,95.8
"42","Kalkaska",93.9,98.5,100,96.3,92.9,93.8
"43","Kent",95.2,94.6,86.3,89.8,86.2,96.8
"44","Keweenaw",91.3,NA,100,78.1,69,91.8
"45","Lake",92.7,98.7,100,85.6,84.9,92.6
"46","Lapeer",95.2,98.2,84,95.1,91.9,95.5
"47","Leelanau",96.8,100,85.5,96.8,95.2,97.1
"48","Lenawee",95,89.4,88.5,94.6,91.5,95.3
"49","Livingston",97.3,93.7,97.5,98.1,95.8,97.4
"50","Luce",94.8,100,7.7,99.2,77.4,95
"51","Mackinac",89.7,50.7,43.7,88,78.7,93.1
"52","Macomb",95.1,93.7,87.1,93.3,89.8,95.7
"53","Manistee",95.2,100,90.7,94.8,92.2,95.3
"54","Marquette",96.6,95.1,95.1,93.5,91.9,96.8
"55","Mason",94.8,53.8,81.9,97.1,91.1,95.1
"56","Mecosta",92.2,97.8,76.9,94.4,91.4,92.2
"57","Menominee",95.9,83.7,66.2,97.3,82.4,96.4
"58","Midland",95.8,93.1,90.4,93.3,91.3,96.1
"59","Missaukee",91.6,100,86.5,87.3,67.9,92.3
"60","Monroe",96.6,96.6,93.5,95.5,93.4,96.7
"61","Montcalm",91.1,82.8,85.8,82.4,84.9,92.1
"62","Montmorency",93.9,100,76.5,96.1,97.6,93.8
"63","Muskegon",95.5,95.2,93.9,94.6,93.8,95.7
"64","Newaygo",93.8,87.6,73.9,92,82.1,94.7
"65","Oakland",96.2,95.6,89.3,93,89.1,96.7
"66","Oceana",92.5,81.4,76.2,79.4,77.4,95.9
"67","Ogemaw",94,91.1,82.5,99.1,94.8,93.9
"68","Ontonagon",94.5,75,62.2,97.8,86.5,94.6
"69","Osceola",90.7,87.6,92.1,95.4,95.1,90.4
"70","Oscoda",87,100,100,86.5,72.3,87.6
"71","Otsego",94.3,87.3,89,98.7,97.7,94.1
"72","Ottawa",96.7,90.6,90.3,97,93.9,97.2
"73","Presque Isle",94.8,100,90.9,94.1,91.4,94.8
"74","Roscommon",95.1,91.5,100,89.4,92.1,95.4
"75","Saginaw",95.5,94.5,91.1,90.8,92,96.3
"76","Sanilac",92.2,100,89.2,94.6,92.9,92.1
"77","Schoolcraft",94.9,100,100,93.2,99.3,94.9
"78","Shiawassee",96,94.8,82.6,95.2,94.1,96.1
"79","St. Clair",95.1,96.4,94.4,94.5,95.3,95.2
"80","Tuscola",95.4,89.7,98,98,95.8,95.4
"81","Washtenaw",96.7,95,89.4,95,91.5,97.6
"82","Wayne",94.4,93.9,82.2,91.7,86.3,96
"83","Wexford",93.3,83.8,50,95.3,88.5,93.5
