"","GEOID.x","NAME","variable","Male Income","Female Income"
"1","26077","Kalamazoo","Less than high school graduate",37476,22259
"2","26077","Kalamazoo","High school graduate (includes equivalency)",48720,31315
"3","26077","Kalamazoo","Some college or associate's degree",55101,38134
"4","26077","Kalamazoo","Bachelor's degree",77050,58019
"5","26077","Kalamazoo","Graduate or professional degree",92196,73494
"6","26021","Berrien","Less than high school graduate",30948,23279
"7","26021","Berrien","High school graduate (includes equivalency)",40612,26049
"8","26021","Berrien","Some college or associate's degree",53297,32280
"9","26021","Berrien","Bachelor's degree",78631,54484
"10","26021","Berrien","Graduate or professional degree",90672,66222
"11","26023","Branch","Less than high school graduate",38795,30536
"12","26023","Branch","High school graduate (includes equivalency)",44189,31458
"13","26023","Branch","Some college or associate's degree",53234,35119
"14","26023","Branch","Bachelor's degree",67734,49238
"15","26023","Branch","Graduate or professional degree",90375,68281
"16","26025","Calhoun","Less than high school graduate",41295,19485
"17","26025","Calhoun","High school graduate (includes equivalency)",44404,31228
"18","26025","Calhoun","Some college or associate's degree",54016,34956
"19","26025","Calhoun","Bachelor's degree",72974,54504
"20","26025","Calhoun","Graduate or professional degree",85313,84383
"21","26027","Cass","Less than high school graduate",45139,20956
"22","26027","Cass","High school graduate (includes equivalency)",51346,32849
"23","26027","Cass","Some college or associate's degree",54435,37547
"24","26027","Cass","Bachelor's degree",85000,54894
"25","26027","Cass","Graduate or professional degree",96000,70341
"26","26149","St. Joseph","Less than high school graduate",49305,22664
"27","26149","St. Joseph","High school graduate (includes equivalency)",48305,29994
"28","26149","St. Joseph","Some college or associate's degree",55650,34406
"29","26149","St. Joseph","Bachelor's degree",71349,48091
"30","26149","St. Joseph","Graduate or professional degree",64554,55521
"31","26159","Van Buren","Less than high school graduate",34940,29526
"32","26159","Van Buren","High school graduate (includes equivalency)",50540,29313
"33","26159","Van Buren","Some college or associate's degree",61680,33869
"34","26159","Van Buren","Bachelor's degree",74028,49763
"35","26159","Van Buren","Graduate or professional degree",90297,67548
"36","26001","Alcona","Less than high school graduate",31786,21528
"37","26001","Alcona","High school graduate (includes equivalency)",42727,27028
"38","26001","Alcona","Some college or associate's degree",52303,32768
"39","26001","Alcona","Bachelor's degree",68456,37500
"40","26001","Alcona","Graduate or professional degree",79079,65357
"41","26003","Alger","Less than high school graduate",59375,23438
"42","26003","Alger","High school graduate (includes equivalency)",42269,28438
"43","26003","Alger","Some college or associate's degree",49427,34005
"44","26003","Alger","Bachelor's degree",55000,41354
"45","26003","Alger","Graduate or professional degree",80688,68438
"46","26005","Allegan","Less than high school graduate",48276,32438
"47","26005","Allegan","High school graduate (includes equivalency)",53891,31466
"48","26005","Allegan","Some college or associate's degree",58565,37234
"49","26005","Allegan","Bachelor's degree",74696,57527
"50","26005","Allegan","Graduate or professional degree",83613,72687
"51","26007","Alpena","Less than high school graduate",28185,11849
"52","26007","Alpena","High school graduate (includes equivalency)",41672,18933
