"","NAME","name","value"
"1","Kalamazoo","Homeowner Vacancy Rate",0.5
"2","Kalamazoo","Rental Vacancy Rate",5.3
"3","Kalamazoo","Occupied Housing Units",107110
"4","Kalamazoo","One or Less Occupant Per Room (%)",99
"5","Kalamazoo","More than 1 Occupants Per Room (%)",1
"6","Kalamazoo","Average Monthly Owner Cost (With Mortgage) ($)",1616
"7","Kalamazoo","Average Monthly Rent ($)",1093
"8","Berrien","Homeowner Vacancy Rate",0.8
"9","Berrien","Rental Vacancy Rate",4.5
"10","Berrien","Occupied Housing Units",63999
"11","Berrien","One or Less Occupant Per Room (%)",98.6
"12","Berrien","More than 1 Occupants Per Room (%)",1.4
"13","Berrien","Average Monthly Owner Cost (With Mortgage) ($)",1462
"14","Berrien","Average Monthly Rent ($)",942
"15","Branch","Homeowner Vacancy Rate",1.1
"16","Branch","Rental Vacancy Rate",7.8
"17","Branch","Occupied Housing Units",16906
"18","Branch","One or Less Occupant Per Room (%)",97.5
"19","Branch","More than 1 Occupants Per Room (%)",2.5
"20","Branch","Average Monthly Owner Cost (With Mortgage) ($)",1241
"21","Branch","Average Monthly Rent ($)",959
"22","Calhoun","Homeowner Vacancy Rate",1.6
"23","Calhoun","Rental Vacancy Rate",9.7
"24","Calhoun","Occupied Housing Units",53333
"25","Calhoun","One or Less Occupant Per Room (%)",98.6
"26","Calhoun","More than 1 Occupants Per Room (%)",1.4
"27","Calhoun","Average Monthly Owner Cost (With Mortgage) ($)",1271
"28","Calhoun","Average Monthly Rent ($)",968
"29","Cass","Homeowner Vacancy Rate",0.8
"30","Cass","Rental Vacancy Rate",5.1
"31","Cass","Occupied Housing Units",21207
"32","Cass","One or Less Occupant Per Room (%)",98.3
"33","Cass","More than 1 Occupants Per Room (%)",1.7
"34","Cass","Average Monthly Owner Cost (With Mortgage) ($)",1478
"35","Cass","Average Monthly Rent ($)",916
"36","St. Joseph","Homeowner Vacancy Rate",0.9
"37","St. Joseph","Rental Vacancy Rate",5.5
"38","St. Joseph","Occupied Housing Units",23620
"39","St. Joseph","One or Less Occupant Per Room (%)",98.8
"40","St. Joseph","More than 1 Occupants Per Room (%)",1.2
"41","St. Joseph","Average Monthly Owner Cost (With Mortgage) ($)",1309
"42","St. Joseph","Average Monthly Rent ($)",849
"43","Van Buren","Homeowner Vacancy Rate",0.3
"44","Van Buren","Rental Vacancy Rate",6.5
"45","Van Buren","Occupied Housing Units",30622
"46","Van Buren","One or Less Occupant Per Room (%)",98
"47","Van Buren","More than 1 Occupants Per Room (%)",2
"48","Van Buren","Average Monthly Owner Cost (With Mortgage) ($)",1404
"49","Van Buren","Average Monthly Rent ($)",870
"50","Alcona","Homeowner Vacancy Rate",1.6
"51","Alcona","Rental Vacancy Rate",4
"52","Alcona","Occupied Housing Units",5305
"53","Alcona","One or Less Occupant Per Room (%)",99.1
"54","Alcona","More than 1 Occupants Per Room (%)",0.9
"55","Alcona","Average Monthly Owner Cost (With Mortgage) ($)",1096
"56","Alcona","Average Monthly Rent ($)",867
"57","Alger","Homeowner Vacancy Rate",1.1
"58","Alger","Rental Vacancy Rate",6
"59","Alger","Occupied Housing Units",3531
"60","Alger","One or Less Occupant Per Room (%)",98.6
"61","Alger","More than 1 Occupants Per Room (%)",1.4
"62","Alger","Average Monthly Owner Cost (With Mortgage) ($)",1249
"63","Alger","Average Monthly Rent ($)",714
"64","Allegan","Homeowner Vacancy Rate",0.4
"65","Allegan","Rental Vacancy Rate",4.1
"66","Allegan","Occupied Housing Units",45522
"67","Allegan","One or Less Occupant Per Room (%)",97.7
"68","Allegan","More than 1 Occupants Per Room (%)",2.3
"69","Allegan","Average Monthly Owner Cost (With Mortgage) ($)",1523
"70","Allegan","Average Monthly Rent ($)",1100
"71","Alpena","Homeowner Vacancy Rate",0.8
"72","Alpena","Rental Vacancy Rate",2.1
"73","Alpena","Occupied Housing Units",13019
"74","Alpena","One or Less Occupant Per Room (%)",98.4
"75","Alpena","More than 1 Occupants Per Room (%)",1.6
"76","Alpena","Average Monthly Owner Cost (With Mortgage) ($)",1096
"77","Alpena","Average Monthly Rent ($)",673
"78","Antrim","Homeowner Vacancy Rate",0.9
"79","Antrim","Rental Vacancy Rate",4.1
"80","Antrim","Occupied Housing Units",11100
"81","Antrim","One or Less Occupant Per Room (%)",97.8
"82","Antrim","More than 1 Occupants Per Room (%)",2.2
"83","Antrim","Average Monthly Owner Cost (With Mortgage) ($)",1462
"84","Antrim","Average Monthly Rent ($)",902
"85","Arenac","Homeowner Vacancy Rate",0.4
"86","Arenac","Rental Vacancy Rate",4.5
"87","Arenac","Occupied Housing Units",6552
"88","Arenac","One or Less Occupant Per Room (%)",98.8
"89","Arenac","More than 1 Occupants Per Room (%)",1.2
"90","Arenac","Average Monthly Owner Cost (With Mortgage) ($)",1140
"91","Arenac","Average Monthly Rent ($)",761
"92","Baraga","Homeowner Vacancy Rate",1.2
"93","Baraga","Rental Vacancy Rate",6.1
"94","Baraga","Occupied Housing Units",3433
"95","Baraga","One or Less Occupant Per Room (%)",99
"96","Baraga","More than 1 Occupants Per Room (%)",1
"97","Baraga","Average Monthly Owner Cost (With Mortgage) ($)",1131
"98","Baraga","Average Monthly Rent ($)",616
"99","Barry","Homeowner Vacancy Rate",0.3
"100","Barry","Rental Vacancy Rate",4.3
"101","Barry","Occupied Housing Units",24480
"102","Barry","One or Less Occupant Per Room (%)",98.4
"103","Barry","More than 1 Occupants Per Room (%)",1.6
"104","Barry","Average Monthly Owner Cost (With Mortgage) ($)",1545
"105","Barry","Average Monthly Rent ($)",972
"106","Bay","Homeowner Vacancy Rate",0.8
"107","Bay","Rental Vacancy Rate",3.9
"108","Bay","Occupied Housing Units",45103
"109","Bay","One or Less Occupant Per Room (%)",99.1
"110","Bay","More than 1 Occupants Per Room (%)",0.9
"111","Bay","Average Monthly Owner Cost (With Mortgage) ($)",1249
"112","Bay","Average Monthly Rent ($)",860
"113","Benzie","Homeowner Vacancy Rate",0.7
"114","Benzie","Rental Vacancy Rate",9.7
"115","Benzie","Occupied Housing Units",7708
"116","Benzie","One or Less Occupant Per Room (%)",98.4
"117","Benzie","More than 1 Occupants Per Room (%)",1.6
"118","Benzie","Average Monthly Owner Cost (With Mortgage) ($)",1437
"119","Benzie","Average Monthly Rent ($)",1026
"120","Charlevoix","Homeowner Vacancy Rate",0.8
"121","Charlevoix","Rental Vacancy Rate",3.8
"122","Charlevoix","Occupied Housing Units",12267
"123","Charlevoix","One or Less Occupant Per Room (%)",98.7
"124","Charlevoix","More than 1 Occupants Per Room (%)",1.3
"125","Charlevoix","Average Monthly Owner Cost (With Mortgage) ($)",1478
"126","Charlevoix","Average Monthly Rent ($)",949
"127","Cheboygan","Homeowner Vacancy Rate",0.6
"128","Cheboygan","Rental Vacancy Rate",4.9
"129","Cheboygan","Occupied Housing Units",11159
"130","Cheboygan","One or Less Occupant Per Room (%)",99.1
"131","Cheboygan","More than 1 Occupants Per Room (%)",0.9
"132","Cheboygan","Average Monthly Owner Cost (With Mortgage) ($)",1231
"133","Cheboygan","Average Monthly Rent ($)",773
"134","Chippewa","Homeowner Vacancy Rate",1.2
"135","Chippewa","Rental Vacancy Rate",7.8
"136","Chippewa","Occupied Housing Units",14080
"137","Chippewa","One or Less Occupant Per Room (%)",97.7
"138","Chippewa","More than 1 Occupants Per Room (%)",2.3
"139","Chippewa","Average Monthly Owner Cost (With Mortgage) ($)",1207
"140","Chippewa","Average Monthly Rent ($)",797
"141","Clare","Homeowner Vacancy Rate",1.4
"142","Clare","Rental Vacancy Rate",5.8
"143","Clare","Occupied Housing Units",12521
"144","Clare","One or Less Occupant Per Room (%)",97.5
"145","Clare","More than 1 Occupants Per Room (%)",2.5
"146","Clare","Average Monthly Owner Cost (With Mortgage) ($)",1141
"147","Clare","Average Monthly Rent ($)",765
"148","Clinton","Homeowner Vacancy Rate",0.4
"149","Clinton","Rental Vacancy Rate",9.6
"150","Clinton","Occupied Housing Units",31639
"151","Clinton","One or Less Occupant Per Room (%)",99
"152","Clinton","More than 1 Occupants Per Room (%)",1
"153","Clinton","Average Monthly Owner Cost (With Mortgage) ($)",1726
"154","Clinton","Average Monthly Rent ($)",1092
"155","Crawford","Homeowner Vacancy Rate",0.4
"156","Crawford","Rental Vacancy Rate",4.4
"157","Crawford","Occupied Housing Units",6231
"158","Crawford","One or Less Occupant Per Room (%)",99
"159","Crawford","More than 1 Occupants Per Room (%)",1
"160","Crawford","Average Monthly Owner Cost (With Mortgage) ($)",1190
"161","Crawford","Average Monthly Rent ($)",862
"162","Delta","Homeowner Vacancy Rate",1.3
"163","Delta","Rental Vacancy Rate",4.6
"164","Delta","Occupied Housing Units",15971
"165","Delta","One or Less Occupant Per Room (%)",98.6
"166","Delta","More than 1 Occupants Per Room (%)",1.4
"167","Delta","Average Monthly Owner Cost (With Mortgage) ($)",1205
"168","Delta","Average Monthly Rent ($)",692
"169","Dickinson","Homeowner Vacancy Rate",1
"170","Dickinson","Rental Vacancy Rate",2.8
"171","Dickinson","Occupied Housing Units",11905
"172","Dickinson","One or Less Occupant Per Room (%)",99.4
