"","NAME","Total","Men","Women","Women with Kids Under 18","Women with Kids Under 6","Women with Kids Under 6 and 6 to 17","Women with Kids 6 to 17"
"1","Kalamazoo",65.7,84.6,77,77.5,71.1,67.4,83.7
"2","Berrien",59.9,79.7,74.1,77.1,70.3,73.1,80.4
"3","Branch",58.1,76,68.8,68.5,65.3,45.2,80.9
"4","Calhoun",59.6,78.2,73.8,77.5,68.1,67.6,84.7
"5","Cass",58.8,81.7,71.6,72.4,73.2,65.2,74.5
"6","St. Joseph",61.5,83.3,70.7,71.1,65.2,60.1,77.4
"7","Van Buren",58.6,79.5,70.9,74,75.3,72.8,74
"8","Alcona",42.7,67.4,66.3,78.1,70.5,59.8,85.4
"9","Alger",41.3,51.6,65,78.1,69.1,78.9,81.6
"10","Allegan",61.8,83.8,72.2,73.5,77.4,62.8,76.6
"11","Alpena",53.9,75.3,68.6,77.8,88,71.5,76.9
"12","Antrim",54.6,80.5,72.2,81.6,71.7,78.7,86.4
"13","Arenac",52.4,76.4,70.5,80,69.1,80.3,83.5
"14","Baraga",43.5,48.5,72.5,81.7,77.2,83.9,82.2
"15","Barry",59.3,81.2,72,75.1,70.1,57.1,84.4
"16","Bay",59.3,80.9,75.7,83.5,83.4,82.4,84
"17","Benzie",54.2,76.6,75.4,88.4,87,71.4,92.8
"18","Charlevoix",57.8,85.6,74.7,82.3,73.6,71.2,88.4
"19","Cheboygan",51.4,75.8,68.1,84.7,92.7,73.3,83.8
"20","Chippewa",53.1,60,74.1,81.3,74.2,78.9,84.6
"21","Clare",46.2,67.4,57.3,67,63.4,52.4,75.1
"22","Clinton",63.9,84.6,78.6,85.5,82.9,81.6,87.6
"23","Crawford",49.8,72.4,64.8,78.3,69.9,71.5,84.1
"24","Delta",51.2,74,65.9,67.5,71.3,65.7,66.9
"25","Dickinson",57.5,82.9,74.2,85.6,87,78.6,87.1
"26","Eaton",63.6,85.1,77.2,80.3,72.7,73.8,86.3
"27","Emmet",60.6,83.5,76.5,78.6,66.2,76.1,83
"28","Genesee",58.5,77.4,71.9,76.9,71.4,69.2,81.3
"29","Gladwin",47.4,69.9,66.3,74,71.9,78.9,72.9
"30","Gogebic",53.2,76.6,75.6,82.8,77.8,74.4,86.8
"31","Grand Traverse",64,86.2,78,80.2,78.9,72.7,83
"32","Gratiot",52.7,60.1,74.5,79.7,76.1,71.3,84.5
"33","Hillsdale",57,78.3,71.2,75.1,68.7,69.3,79.1
"34","Houghton",57.8,76.5,71.9,66.1,52.2,49.1,81.3
"35","Huron",55.5,81.5,72.3,77.1,73.1,69.1,81.2
"36","Ingham",64.2,80,76.6,77.8,78.1,69.8,80.3
"37","Ionia",59.2,72.5,71.9,78.4,73.2,69,84.5
"38","Iosco",47.9,72.5,69,84.2,86.5,74.9,86.6
"39","Iron",47.9,73.8,66.9,70.3,55.7,66.9,76.5
"40","Isabella",62.4,79.7,73.1,76.7,71.7,67.8,80.9
"41","Jackson",56.8,70,74.6,79,76.6,72.5,82.1
"42","Kalkaska",55.5,77.5,68.9,66.8,50.6,59.5,75.5
"43","Kent",68.8,87.3,79.2,78.4,74.1,69.1,83.4
"44","Keweenaw",45.1,67,70.1,86.2,77.3,36.4,98
"45","Lake",44.7,65.8,54.7,63.4,55.3,46.9,69.7
"46","Lapeer",59.4,79.8,72,77.3,68.4,72.6,82.3
"47","Leelanau",50.7,76.3,73,79.6,74.6,74.4,82.4
"48","Lenawee",58.1,75.4,72.4,74.5,64.2,58.8,84.1
"49","Livingston",63.9,86.2,75.6,78.2,78.6,71,80.3
"50","Luce",41.2,47.1,53.7,59.6,41.8,62.2,69.4
"51","Mackinac",51.4,72.6,71.2,76.6,77,61,80.6
"52","Macomb",63.8,84.4,75.2,75.1,70.2,66.1,79.8
"53","Manistee",49.8,65.1,72.3,79.4,57,81.5,87.8
"54","Marquette",59.6,77.1,76.6,80.8,72.4,69.4,87.2
"55","Mason",54.5,79.9,73.2,72.9,60,66.1,80.7
"56","Mecosta",54.4,71.4,70.6,73.1,71.6,56.8,79.5
"57","Menominee",54.5,80.9,73,84,82.6,76.7,86.2
"58","Midland",59.5,81.7,73.6,79.2,77.2,77.9,80.6
"59","Missaukee",57.7,79.9,73.3,72.3,65.3,51.2,80.6
"60","Monroe",59.5,81.1,71.3,76.1,78,58.6,81.6
"61","Montcalm",56.1,72.2,65.7,68.4,67.7,45,78.6
"62","Montmorency",41.9,64.9,56,65,75.6,87.6,53
"63","Muskegon",59.5,75.1,74.5,80,77.3,70.9,84.2
"64","Newaygo",55.6,75.1,68.8,75.6,71.2,67.7,80.1
"65","Oakland",66.3,87.2,76.7,76.3,71.1,71.1,79.8
"66","Oceana",55.9,79.2,67.7,72.7,71.2,74.6,72.6
"67","Ogemaw",47.5,67.1,65.5,74.5,77.8,62.9,76.2
"68","Ontonagon",42.9,70.5,68.8,79.1,78.5,72.2,80.2
"69","Osceola",53.3,75.9,64.9,71.5,69.3,62.3,76.1
"70","Oscoda",44.2,69.1,56.3,57.1,51.9,61.9,53.8
"71","Otsego",63.1,88.2,77.4,80,75.2,82.8,81.1
"72","Ottawa",66.9,89.6,77,76.8,73.7,67.3,81.2
"73","Presque Isle",45.9,76,61.5,69.1,56.6,52.8,78.7
"74","Roscommon",42.3,65.9,62.4,74.4,75.5,71.5,75.1
"75","Saginaw",57.2,76.2,72.9,77.1,74.8,66,82.2
"76","Sanilac",54.8,78.4,68.7,75.5,66,68.1,82.2
"77","Schoolcraft",50.2,74.5,70.3,78.7,61.1,67.5,86.2
"78","Shiawassee",59.9,80.4,74.1,80.1,80.7,63.7,85.1
"79","St. Clair",60.8,83.9,72.4,74.3,76.9,68.9,75.1
"80","Tuscola",54.5,78.6,66.5,73.4,73.8,62,77.1
"81","Washtenaw",63,80,74.3,76.2,69.8,68.9,81.1
"82","Wayne",59.2,77.7,69.1,69.3,69.7,59.7,73
"83","Wexford",55.7,77.4,70.1,75.4,77,56.3,84.2
