"","GEOID","NAME","variable","Median Cost","Income Needed to Afford Cost"
"1","26077","Kalamazoo","Homeowners",1616,4488
"2","26077","Kalamazoo","Renters",1093,3036
"3","26021","Berrien","Homeowners",1462,4061
"4","26021","Berrien","Renters",942,2616
"5","26023","Branch","Homeowners",1241,3447
"6","26023","Branch","Renters",959,2664
"7","26025","Calhoun","Homeowners",1271,3530
"8","26025","Calhoun","Renters",968,2689
"9","26027","Cass","Homeowners",1478,4105
"10","26027","Cass","Renters",916,2544
"11","26149","St. Joseph","Homeowners",1309,3636
"12","26149","St. Joseph","Renters",849,2358
"13","26159","Van Buren","Homeowners",1404,3900
"14","26159","Van Buren","Renters",870,2416
"15","26001","Alcona","Homeowners",1096,3044
"16","26001","Alcona","Renters",867,2408
"17","26003","Alger","Homeowners",1249,3469
"18","26003","Alger","Renters",714,1983
"19","26005","Allegan","Homeowners",1523,4230
"20","26005","Allegan","Renters",1100,3055
"21","26007","Alpena","Homeowners",1096,3044
"22","26007","Alpena","Renters",673,1869
"23","26009","Antrim","Homeowners",1462,4061
"24","26009","Antrim","Renters",902,2505
"25","26011","Arenac","Homeowners",1140,3166
"26","26011","Arenac","Renters",761,2114
"27","26013","Baraga","Homeowners",1131,3141
"28","26013","Baraga","Renters",616,1711
"29","26015","Barry","Homeowners",1545,4291
"30","26015","Barry","Renters",972,2700
"31","26017","Bay","Homeowners",1249,3469
"32","26017","Bay","Renters",860,2389
"33","26019","Benzie","Homeowners",1437,3991
"34","26019","Benzie","Renters",1026,2850
"35","26029","Charlevoix","Homeowners",1478,4105
"36","26029","Charlevoix","Renters",949,2636
"37","26031","Cheboygan","Homeowners",1231,3419
"38","26031","Cheboygan","Renters",773,2147
"39","26033","Chippewa","Homeowners",1207,3352
"40","26033","Chippewa","Renters",797,2214
"41","26035","Clare","Homeowners",1141,3169
"42","26035","Clare","Renters",765,2125
"43","26037","Clinton","Homeowners",1726,4794
"44","26037","Clinton","Renters",1092,3033
"45","26039","Crawford","Homeowners",1190,3305
"46","26039","Crawford","Renters",862,2394
"47","26041","Delta","Homeowners",1205,3347
"48","26041","Delta","Renters",692,1922
"49","26043","Dickinson","Homeowners",1126,3127
"50","26043","Dickinson","Renters",797,2214
"51","26045","Eaton","Homeowners",1514,4205
"52","26045","Eaton","Renters",1092,3033
"53","26047","Emmet","Homeowners",1604,4455
"54","26047","Emmet","Renters",1112,3089
"55","26049","Genesee","Homeowners",1455,4041
"56","26049","Genesee","Renters",989,2747
"57","26051","Gladwin","Homeowners",1233,3425
"58","26051","Gladwin","Renters",690,1916
"59","26053","Gogebic","Homeowners",1084,3011
"60","26053","Gogebic","Renters",623,1730
"61","26055","Grand Traverse","Homeowners",1566,4350
"62","26055","Grand Traverse","Renters",1288,3577
"63","26057","Gratiot","Homeowners",1248,3466
"64","26057","Gratiot","Renters",834,2316
"65","26059","Hillsdale","Homeowners",1239,3441
"66","26059","Hillsdale","Renters",832,2311
"67","26061","Houghton","Homeowners",1211,3364
"68","26061","Houghton","Renters",840,2333
"69","26063","Huron","Homeowners",1135,3152
"70","26063","Huron","Renters",788,2189
"71","26065","Ingham","Homeowners",1501,4169
"72","26065","Ingham","Renters",1084,3011
"73","26067","Ionia","Homeowners",1383,3841
"74","26067","Ionia","Renters",884,2455
"75","26069","Iosco","Homeowners",1036,2877
"76","26069","Iosco","Renters",719,1997
"77","26071","Iron","Homeowners",1165,3236
"78","26071","Iron","Renters",716,1989
"79","26073","Isabella","Homeowners",1314,3650
"80","26073","Isabella","Renters",913,2536
"81","26075","Jackson","Homeowners",1377,3825
"82","26075","Jackson","Renters",985,2736
"83","26079","Kalkaska","Homeowners",1223,3397
"84","26079","Kalkaska","Renters",853,2369
"85","26081","Kent","Homeowners",1603,4452
"86","26081","Kent","Renters",1243,3452
"87","26083","Keweenaw","Homeowners",1179,3275
"88","26083","Keweenaw","Renters",688,1911
"89","26085","Lake","Homeowners",1172,3255
"90","26085","Lake","Renters",875,2430
"91","26087","Lapeer","Homeowners",1512,4200
"92","26087","Lapeer","Renters",988,2744
"93","26089","Leelanau","Homeowners",1865,5180
"94","26089","Leelanau","Renters",1228,3411
"95","26091","Lenawee","Homeowners",1409,3913
"96","26091","Lenawee","Renters",987,2741
"97","26093","Livingston","Homeowners",1899,5274
"98","26093","Livingston","Renters",1287,3575
"99","26095","Luce","Homeowners",1060,2944
"100","26095","Luce","Renters",675,1875
"101","26097","Mackinac","Homeowners",1294,3594
"102","26097","Mackinac","Renters",760,2111
"103","26099","Macomb","Homeowners",1628,4522
"104","26099","Macomb","Renters",1211,3364
"105","26101","Manistee","Homeowners",1218,3383
"106","26101","Manistee","Renters",842,2339
"107","26103","Marquette","Homeowners",1379,3830
"108","26103","Marquette","Renters",949,2636
"109","26105","Mason","Homeowners",1380,3833
"110","26105","Mason","Renters",896,2489
"111","26107","Mecosta","Homeowners",1293,3591
"112","26107","Mecosta","Renters",934,2594
"113","26109","Menominee","Homeowners",1163,3230
"114","26109","Menominee","Renters",692,1922
"115","26111","Midland","Homeowners",1465,4069
"116","26111","Midland","Renters",1016,2822
"117","26113","Missaukee","Homeowners",1286,3572
"118","26113","Missaukee","Renters",891,2475
"119","26115","Monroe","Homeowners",1586,4405
"120","26115","Monroe","Renters",1059,2941
"121","26117","Montcalm","Homeowners",1352,3755
"122","26117","Montcalm","Renters",869,2414
