"","NAME","Total","Black or African American","Some other race","Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino"
"1","Kalamazoo",12.7,25.9,24,14.5,17.7,10
"2","Berrien",15.1,37.3,13.2,15.3,13.4,11.2
"3","Branch",16.4,59.1,16.7,23.9,18.7,16
"4","Calhoun",13.9,29.4,14.7,16.4,13.3,11.8
"5","Cass",11.9,13.7,15,13.9,18.4,11.4
"6","St. Joseph",11.4,19.5,7.2,18.9,10.2,10.6
"7","Van Buren",14.3,37.8,17.8,14.6,19.1,12.6
"8","Alcona",12.3,0,17.6,13.6,27.3,12.2
"9","Alger",10.4,0,13.7,7.2,11.4,10.6
"10","Allegan",8.4,14.3,5.7,8.5,11.7,7.9
"11","Alpena",18,41.6,31.5,26.4,25.4,17.1
"12","Antrim",9.9,21.6,6.4,13,6.6,9.6
"13","Arenac",11.7,57.5,23.3,9.7,9,11.6
"14","Baraga",15.2,40,0,22.6,5.9,13.7
"15","Barry",8.4,2.5,18,18.3,23.6,7.5
"16","Bay",13.2,25.7,37.2,19.3,16,12.4
"17","Benzie",9.7,14.6,2.2,11.2,31,9.2
"18","Charlevoix",8.7,11,16.9,14.5,3.8,8.3
"19","Cheboygan",12.4,49.2,1.6,8.9,7.5,12.4
"20","Chippewa",14,11.9,10.4,18.5,31.9,12.5
"21","Clare",21.6,14.8,27,24.4,38.2,21.4
"22","Clinton",9.7,13.3,18.2,12.8,13.4,9.1
"23","Crawford",14.7,72.7,11.3,31.4,32,13.2
"24","Delta",12.7,61.3,26.5,8.8,9.2,12.6
"25","Dickinson",10.5,2.7,66.7,9.3,10.7,10.2
"26","Eaton",8.3,21.5,25.5,7.3,14,6.9
"27","Emmet",8.5,12.1,21.3,6.7,14.4,8.3
"28","Genesee",16.4,30.8,16.9,16.5,19.4,12.2
"29","Gladwin",14.9,66.7,15.2,15.8,21.8,14.6
"30","Gogebic",14.4,96.8,59,17.4,39.2,13.5
"31","Grand Traverse",9.6,13.1,1.4,19.8,9.7,9.1
"32","Gratiot",14,17.3,10.9,26.8,32.3,12.1
"33","Hillsdale",14.4,32.7,1.3,17.6,20.2,14
"34","Houghton",16.5,40.7,39.5,23.7,32.9,15.9
"35","Huron",12.6,23.2,9.5,30.6,19.9,11.9
"36","Ingham",16.7,30.4,18.4,18.9,18.3,13.4
"37","Ionia",10.6,9.9,5.9,11.9,9,10.5
"38","Iosco",17.7,45.5,35.3,14.8,15.1,17.7
"39","Iron",17,50.9,4.7,32.7,36.6,16
"40","Isabella",21.9,17.2,12.1,27.8,16.6,22
"41","Jackson",11.6,29,13.1,15.4,18.8,9.8
"42","Kalkaska",12.2,64.2,17.5,11.1,14.6,11.8
"43","Kent",10.1,23.8,17.4,15.8,19.6,6.8
"44","Keweenaw",15.2,NA,0,21,19,15.2
"45","Lake",20.5,17.8,41.8,19.7,18.4,20.3
"46","Lapeer",9.7,46.3,14,21.4,22.1,8.6
"47","Leelanau",6.5,30.7,8.8,14,24.5,4.6
"48","Lenawee",10.7,33.3,10.8,14,18.1,9.7
"49","Livingston",5.1,11.3,5.6,4.2,4.8,4.9
"50","Luce",16.7,100,92.3,9,82,16.3
"51","Mackinac",16.1,60.7,3.4,19.9,5.1,11.4
"52","Macomb",10.4,17.2,9.5,11,12,9
"53","Manistee",12.7,10.7,10.5,17.6,17.9,12.2
"54","Marquette",14,33.9,32.4,15,8.1,13.8
"55","Mason",14.1,3.4,13.3,21.4,12.9,14
"56","Mecosta",19.9,63,33.4,26.2,31.9,18.5
"57","Menominee",12.2,66.3,19.6,18.7,24,11
"58","Midland",10.7,23.6,16.8,18.9,11.9,10.1
"59","Missaukee",11.3,79.4,31.6,8.3,11.3,11.3
"60","Monroe",10.5,31.9,15,12.6,15.5,9.7
"61","Montcalm",12.6,16.7,5.9,14.3,13.9,12.3
"62","Montmorency",18.2,35,41.2,23.6,7.3,17.9
"63","Muskegon",14.1,34,12,18.9,19.4,9.9
"64","Newaygo",12.8,15.7,30.4,14.8,17.3,11.9
"65","Oakland",7.7,14.3,12.2,10.5,13.1,6.4
"66","Oceana",13.6,15.9,22.3,17.5,21.8,12.3
"67","Ogemaw",16.7,30.3,10.5,16.2,21.4,16.5
"68","Ontonagon",12.5,75,0,1.9,1,13.3
"69","Osceola",15.8,21.6,7.6,17.6,13.8,15.9
"70","Oscoda",17.2,22.2,30.8,19.3,22,17.2
"71","Otsego",8,15.1,0,5.4,3.8,8.2
"72","Ottawa",8.3,22,14.1,7.8,11,7.6
"73","Presque Isle",14,0,21.2,12.7,29,14
"74","Roscommon",15.5,13.6,28.6,24.7,25.4,14.8
"75","Saginaw",18.2,34.7,20.6,30.5,28.9,12.1
"76","Sanilac",15.3,10,11.7,22,14.3,14.9
"77","Schoolcraft",14.1,73.3,0,20,16.3,13.5
"78","Shiawassee",12,4,24.5,17,19,11.7
"79","St. Clair",11.3,22.1,17.2,22,17.3,10.3
"80","Tuscola",12.8,39.5,1.8,11.2,7.8,12.8
"81","Washtenaw",14.2,21.9,19.3,14,15.2,12.1
"82","Wayne",20.8,30.1,28,22.2,24,13.5
"83","Wexford",13.9,8.8,41.7,14.7,21,13.9
