"","NAME","Total","Men","Women","Women with Kids Under 18","Women with Kids Under 6","Women with Kids Under 6 and 6 to 17","Women with Kids 6 to 17"
"1","Kalamazoo",5.5,5.5,5.4,4.1,5.2,2.9,4.1
"2","Berrien",6.2,5.6,6,5.9,10.8,12.3,2.6
"3","Branch",5.7,7.4,4.6,4.7,4.3,9.5,3.6
"4","Calhoun",6.4,6.3,5.1,5.8,8.3,10.2,3.7
"5","Cass",5,5.7,4.4,7.1,17.1,12.1,1.9
"6","St. Joseph",5.9,4,7.7,7.9,15.5,3.5,7.3
"7","Van Buren",4.2,4.2,3.7,2.9,3.3,8.1,1
"8","Alcona",4.5,4.3,3.6,4.5,2.7,19.7,2.5
"9","Alger",6.8,9.6,2,2,0,0,3.3
"10","Allegan",3,2.9,2.5,1.7,1.7,2.1,1.6
"11","Alpena",6.2,6.1,4.2,3.6,1.3,6.7,3.5
"12","Antrim",3.9,4,3.7,3.8,4.9,2.4,3.9
"13","Arenac",6,6.4,5.7,3.2,0.6,0,4.9
"14","Baraga",5.1,2.7,7.2,5.5,28.2,0,1.1
"15","Barry",4.3,3.3,4.8,3.8,4.6,4.3,3.4
"16","Bay",4.3,5.2,2.8,1.3,0.7,3.6,0.8
"17","Benzie",3.1,3.4,1.4,0.2,0,0,0.3
"18","Charlevoix",3.4,4.5,1.8,1,0.5,0,1.3
"19","Cheboygan",6.1,5,7.7,4.9,11.2,2.1,1.8
"20","Chippewa",5.2,3.9,6.4,6.7,13.9,2,6
"21","Clare",9.5,11.3,5.5,3.8,10.2,2.3,2.5
"22","Clinton",3.8,3.5,3.7,2.2,0.4,5.4,1.9
"23","Crawford",8.2,10.4,5,2.7,0.7,1.4,3.7
"24","Delta",4.2,5.1,1.9,1.7,0.9,0.7,2.2
"25","Dickinson",3.6,2.1,4.4,1.7,0,0,2.5
"26","Eaton",4.5,5.1,3,3.1,5.5,2.7,2.2
"27","Emmet",3.2,2.4,3.7,2.9,0,9.4,1.7
"28","Genesee",8.1,7.5,7.3,9.1,10.4,13.3,7.6
"29","Gladwin",6.8,8.5,4.8,7.8,0.9,13.6,8.2
"30","Gogebic",6.5,8.8,2.9,1.7,9.5,0,0.5
"31","Grand Traverse",3.8,3.7,3,2.5,0.6,0.4,3.7
"32","Gratiot",4.2,2.8,4.6,6.5,2.8,18.7,3.1
"33","Hillsdale",4.4,5.2,3.9,6,4.6,14,3.9
"34","Houghton",5.7,6.3,2.9,8.3,30.3,3.3,4
"35","Huron",4.1,4.9,3.2,1.6,0.3,0,2.5
"36","Ingham",6.2,5,5.9,4.3,5.9,8,2.6
"37","Ionia",3.9,3.3,3.2,2.4,2.8,2.4,2.2
"38","Iosco",6.5,7.1,5.3,8.2,0,15.8,9.6
"39","Iron",5.4,3.4,5.5,8.3,29.9,9.1,2.8
"40","Isabella",6.4,7.4,4.9,2.2,2,0.8,2.6
"41","Jackson",5.5,5.3,5.6,6.1,8.3,4.7,5.7
"42","Kalkaska",3.8,3.6,2.4,3.1,0,6.8,2.8
"43","Kent",4.2,3.9,3.6,3.7,5.1,2.5,3.5
"44","Keweenaw",2.2,2.8,0,0,0,0,0
"45","Lake",7.4,9.1,3.8,3.7,10.3,4.4,2.4
"46","Lapeer",5.1,3.7,5.4,4.3,2.5,6.5,4.2
"47","Leelanau",3.4,2.6,2.3,1.9,4.3,0.9,1.4
"48","Lenawee",4.7,4.4,4.9,7.1,2.9,5.6,8.6
"49","Livingston",3.4,3.5,2.5,2.2,1,3.6,2.4
"50","Luce",9.9,5.9,5.9,5.3,23.2,0,0
"51","Mackinac",8,8,7.6,13.9,20.6,30.7,6.7
"52","Macomb",5.7,5,5.6,4.7,5,7.3,3.9
"53","Manistee",6.4,6.2,7.6,8.9,31,2.6,5.3
"54","Marquette",4.6,5.6,3.1,1.8,1.2,0.5,2.2
"55","Mason",4.5,5.3,3.6,2.6,2.2,1.2,3.3
"56","Mecosta",4,3.8,3.2,4.8,3.8,5.9,4.9
"57","Menominee",4.2,4.7,3.5,1.9,0.6,1,2.5
"58","Midland",4.4,4.3,4,3.2,0.9,5.7,3.5
"59","Missaukee",6.7,7.1,5.4,8.3,4,15.3,8.1
"60","Monroe",5.1,5.1,4.1,4.3,6.4,2.5,3.9
"61","Montcalm",5,5.8,3.7,3.7,2.4,5.2,3.8
"62","Montmorency",5.3,3.6,5.8,0.2,1.7,0,0
"63","Muskegon",6.4,5.7,7.1,7.3,8.7,6.5,7
"64","Newaygo",4.4,5,3.4,2.4,0.1,2.6,3.1
"65","Oakland",4.8,4.6,4.5,3.6,3.9,4.6,3.2
"66","Oceana",6.5,7,4.6,4.4,2.6,8,3.9
"67","Ogemaw",6.2,8.3,5.2,7,7.4,0,8.1
"68","Ontonagon",5.3,7.9,2.3,5.1,0,0,6.8
